N/100,pN,Z/100,pZ,przewidywane_BE/A(MeV)
0.31,0,0.88,1,5.30497
0.31,0,0.89,0,5.24122
0.31,0,0.9,1,5.315
0.31,0,0.91,0,5.25159
0.31,0,0.92,1,5.32445
0.31,0,0.93,0,5.26142
0.31,0,0.94,1,5.33332
0.31,0,0.95,0,5.2707
0.31,0,0.96,1,5.34161
0.31,0,0.97,0,5.27945
0.31,0,0.98,1,5.34934
0.31,0,0.99,0,5.28768
0.31,0,1,1,5.35651
0.31,0,1.01,0,5.29539
0.31,0,1.02,1,5.36313
0.31,0,1.03,0,5.30259
0.31,0,1.04,1,5.36921
0.31,0,1.05,0,5.3093
0.31,0,1.06,1,5.37477
0.31,0,1.07,0,5.31554
0.31,0,1.08,1,5.37981
0.31,0,1.09,0,5.3213
0.31,0,1.1,1,5.38436
0.31,0,1.11,0,5.3266
0.31,0,1.12,1,5.38842
0.31,0,1.13,0,5.33146
0.31,0,1.14,1,5.39201
0.31,0,1.15,0,5.33588
0.31,0,1.16,1,5.39514
0.31,0,1.17,0,5.33989
0.31,0,1.18,1,5.39782
0.31,0,1.19,0,5.34348
0.31,0,1.2,1,5.40007
0.31,0,1.21,0,5.34667
0.31,0,1.22,1,5.40189
0.31,0,1.23,0,5.34948
0.31,0,1.24,1,5.4033
0.31,0,1.25,0,5.3519
0.31,0,1.26,1,5.4043
0.31,0,1.27,0,5.35395
0.31,0,1.28,1,5.40492
0.31,0,1.29,0,5.35563
0.31,0,1.3,1,5.40514
0.31,0,1.31,0,5.35696
0.31,0,1.32,1,5.40499
0.31,0,1.33,0,5.35793
0.31,0,1.34,1,5.40446
0.31,0,1.35,0,5.35856
0.31,0,1.36,1,5.40356
0.31,0,1.37,0,5.35885
0.31,0,1.38,1,5.40231
0.31,0,1.39,0,5.35881
0.31,0,1.4,1,5.40069
0.31,0,1.41,0,5.35843
0.31,0,1.42,1,5.39872
0.31,0,1.43,0,5.35773
0.31,0,1.44,1,5.39639
0.31,0,1.45,0,5.35669
0.31,0,1.46,1,5.39371
0.31,0,1.47,0,5.35534
0.31,0,1.48,1,5.39067
0.31,0,1.49,0,5.35365
0.31,0,1.5,1,5.38728
0.32,1,0.01,0,1.51764
0.32,1,0.02,1,1.58342
0.32,1,0.03,0,2.54426
0.32,1,0.04,1,2.63409
0.32,1,0.05,0,3.17095
0.32,1,0.06,1,3.15451
0.32,1,0.07,0,3.9893
0.32,1,0.08,1,3.87183
0.32,1,0.09,0,4.91363
0.32,1,0.1,1,4.8517
0.32,1,0.11,0,5.73608
0.32,1,0.12,1,5.8857
0.32,1,0.13,0,6.46239
0.32,1,0.14,1,6.79892
0.32,1,0.15,0,7.13956
0.32,1,0.16,1,7.50575
0.32,1,0.17,0,7.75489
0.32,1,0.18,1,8.04048
0.32,1,0.19,0,8.1864
0.32,1,0.2,1,8.38186
0.32,1,0.21,0,8.46424
0.32,1,0.22,1,8.59941
0.32,1,0.23,0,8.63907
0.32,1,0.24,1,8.72162
0.32,1,0.25,0,8.72248
0.32,1,0.26,1,8.76827
0.32,1,0.27,0,8.73714
0.32,1,0.28,1,8.75464
0.32,1,0.29,0,8.69285
0.32,1,0.3,1,8.67896
0.32,1,0.31,0,8.58371
0.32,1,0.32,1,8.53362
0.32,1,0.33,0,8.40563
0.32,1,0.34,1,8.32639
0.32,1,0.35,0,8.17227
0.32,1,0.36,1,8.08341
0.32,1,0.37,0,7.90734
0.32,1,0.38,1,7.83779
0.32,1,0.39,0,7.63976
0.32,1,0.4,1,7.62615
0.32,1,0.41,0,7.38953
0.32,1,0.42,1,7.42525
0.32,1,0.43,0,7.10623
0.32,1,0.44,1,7.11892
0.32,1,0.45,0,6.67762
0.32,1,0.46,1,6.53127
0.32,1,0.47,0,5.98936
0.32,1,0.48,1,5.84767
0.32,1,0.49,0,5.4548
0.32,1,0.5,1,5.45218
0.32,1,0.51,0,5.20286
0.32,1,0.52,1,5.26538
0.32,1,0.53,0,5.0874
0.32,1,0.54,1,5.17689
0.32,1,0.55,0,5.03503
0.32,1,0.56,1,5.13713
0.32,1,0.57,0,5.01521
0.32,1,0.58,1,5.1229
0.32,1,0.59,0,5.01282
0.32,1,0.6,1,5.12222
0.32,1,0.61,0,5.01968
0.32,1,0.62,1,5.12873
0.32,1,0.63,0,5.03134
0.32,1,0.64,1,5.13899
0.32,1,0.65,0,5.0454
0.32,1,0.66,1,5.1512
0.32,1,0.67,0,5.06055
0.32,1,0.68,1,5.16434
0.32,1,0.69,0,5.07608
0.32,1,0.7,1,5.17789
0.32,1,0.71,0,5.09161
0.32,1,0.72,1,5.19151
0.32,1,0.73,0,5.10693
0.32,1,0.74,1,5.20503
0.32,1,0.75,0,5.1219
0.32,1,0.76,1,5.21832
0.32,1,0.77,0,5.13645
0.32,1,0.78,1,5.23129
0.32,1,0.79,0,5.15053
0.32,1,0.8,1,5.2439
0.32,1,0.81,0,5.16411
0.32,1,0.82,1,5.25608
0.32,1,0.83,0,5.17717
0.32,1,0.84,1,5.26781
0.32,1,0.85,0,5.18971
0.32,1,0.86,1,5.27908
0.32,1,0.87,0,5.20171
0.32,1,0.88,1,5.28985
0.32,1,0.89,0,5.21319
0.32,1,0.9,1,5.30013
0.32,1,0.91,0,5.22414
0.32,1,0.92,1,5.3099
0.32,1,0.93,0,5.23457
0.32,1,0.94,1,5.31916
0.32,1,0.95,0,5.24449
0.32,1,0.96,1,5.32792
0.32,1,0.97,0,5.25391
0.32,1,0.98,1,5.33619
0.32,1,0.99,0,5.26284
0.32,1,1,1,5.34396
0.32,1,1.01,0,5.27129
0.32,1,1.02,1,5.35125
0.32,1,1.03,0,5.27929
0.32,1,1.04,1,5.35807
0.32,1,1.05,0,5.28684
0.32,1,1.06,1,5.36442
0.32,1,1.07,0,5.29395
0.32,1,1.08,1,5.37033
0.32,1,1.09,0,5.30064
0.32,1,1.1,1,5.3758
0.32,1,1.11,0,5.30693
0.32,1,1.12,1,5.38084
0.32,1,1.13,0,5.31282
0.32,1,1.14,1,5.38547
0.32,1,1.15,0,5.31832
0.32,1,1.16,1,5.3897
0.32,1,1.17,0,5.32345
0.32,1,1.18,1,5.39353
0.32,1,1.19,0,5.32822
0.32,1,1.2,1,5.39699
0.32,1,1.21,0,5.33264
0.32,1,1.22,1,5.40007
0.32,1,1.23,0,5.33671
0.32,1,1.24,1,5.40279
0.32,1,1.25,0,5.34045
0.32,1,1.26,1,5.40516
0.32,1,1.27,0,5.34386
0.32,1,1.28,1,5.40718
0.32,1,1.29,0,5.34696
0.32,1,1.3,1,5.40887
0.32,1,1.31,0,5.34974
0.32,1,1.32,1,5.41022
0.32,1,1.33,0,5.35221
0.32,1,1.34,1,5.41125
0.32,1,1.35,0,5.35438
0.32,1,1.36,1,5.41196
0.32,1,1.37,0,5.35625
0.32,1,1.38,1,5.41236
0.32,1,1.39,0,5.35783
0.32,1,1.4,1,5.41244
0.32,1,1.41,0,5.35911
0.32,1,1.42,1,5.41222
0.32,1,1.43,0,5.36011
0.32,1,1.44,1,5.41168
0.32,1,1.45,0,5.36082
0.32,1,1.46,1,5.41085
0.32,1,1.47,0,5.36125
0.32,1,1.48,1,5.40971
0.32,1,1.49,0,5.36139
0.32,1,1.5,1,5.40826
0.33,0,0.01,0,1.89805
0.33,0,0.02,1,1.93282
0.33,0,0.03,0,2.78755
0.33,0,0.04,1,2.68672
0.33,0,0.05,0,3.5079
0.33,0,0.06,1,3.23568
0.33,0,0.07,0,4.34275
0.33,0,0.08,1,4.02709
0.33,0,0.09,0,5.1443
0.33,0,0.1,1,4.977
0.33,0,0.11,0,5.81839
0.33,0,0.12,1,5.91023
0.33,0,0.13,0,6.43229
0.33,0,0.14,1,6.72998
0.33,0,0.15,0,7.03838
0.33,0,0.16,1,7.39372
0.33,0,0.17,0,7.63505
0.33,0,0.18,1,7.9366
0.33,0,0.19,0,8.08862
0.33,0,0.2,1,8.29346
0.33,0,0.21,0,8.38233
0.33,0,0.22,1,8.52645
0.33,0,0.23,0,8.58296
0.33,0,0.24,1,8.67013
0.33,0,0.25,0,8.69176
0.33,0,0.26,1,8.73438
0.33,0,0.27,0,8.72606
0.33,0,0.28,1,8.73734
0.33,0,0.29,0,8.70188
0.33,0,0.3,1,8.68279
0.33,0,0.31,0,8.61761
0.33,0,0.32,1,8.5621
0.33,0,0.33,0,8.46484
0.33,0,0.34,1,8.37441
0.33,0,0.35,0,8.24983
0.33,0,0.36,1,8.14089
0.33,0,0.37,0,7.99566
0.33,0,0.38,1,7.89069
0.33,0,0.39,0,7.72629
0.33,0,0.4,1,7.65864
0.33,0,0.41,0,7.4741
0.33,0,0.42,1,7.47405
0.33,0,0.43,0,7.23977
0.33,0,0.44,1,7.26303
0.33,0,0.45,0,6.94011
0.33,0,0.46,1,6.88423
0.33,0,0.47,0,6.45304
0.33,0,0.48,1,6.22993
0.33,0,0.49,0,5.78692
0.33,0,0.5,1,5.64453
0.33,0,0.51,0,5.36398
0.33,0,0.52,1,5.34908
0.33,0,0.53,0,5.17627
0.33,0,0.54,1,5.21858
0.33,0,0.55,0,5.09622
0.33,0,0.56,1,5.16304
0.33,0,0.57,0,5.06513
0.33,0,0.58,1,5.143
0.33,0,0.59,0,5.05778
0.33,0,0.6,1,5.14053
0.33,0,0.61,0,5.0623
0.33,0,0.62,1,5.14691
0.33,0,0.63,0,5.07277
0.33,0,0.64,1,5.15777
0.33,0,0.65,0,5.08613
0.33,0,0.66,1,5.17083
0.33,0,0.67,0,5.10084
0.33,0,0.68,1,5.18492
0.33,0,0.69,0,5.11604
0.33,0,0.7,1,5.19938
0.33,0,0.71,0,5.13131
0.33,0,0.72,1,5.21387
0.33,0,0.73,0,5.1464
0.33,0,0.74,1,5.22818
0.33,0,0.75,0,5.16117
0.33,0,0.76,1,5.2422
0.33,0,0.77,0,5.17555
0.33,0,0.78,1,5.25582
0.33,0,0.79,0,5.18948
0.33,0,0.8,1,5.26901
0.33,0,0.81,0,5.20293
0.33,0,0.82,1,5.28173
0.33,0,0.83,0,5.21588
0.33,0,0.84,1,5.29393
0.33,0,0.85,0,5.22832
0.33,0,0.86,1,5.30562
0.33,0,0.87,0,5.24024
0.33,0,0.88,1,5.31676
0.33,0,0.89,0,5.25164
0.33,0,0.9,1,5.32736
0.33,0,0.91,0,5.26251
0.33,0,0.92,1,5.33742
0.33,0,0.93,0,5.27286
0.33,0,0.94,1,5.34693
0.33,0,0.95,0,5.2827
0.33,0,0.96,1,5.3559
0.33,0,0.97,0,5.29203
0.33,0,0.98,1,5.36433
0.33,0,0.99,0,5.30086
0.33,0,1,1,5.37224
0.33,0,1.01,0,5.3092
0.33,0,1.02,1,5.37963
0.33,0,1.03,0,5.31707
0.33,0,1.04,1,5.38652
0.33,0,1.05,0,5.32447
0.33,0,1.06,1,5.39293
0.33,0,1.07,0,5.33143
0.33,0,1.08,1,5.39885
0.33,0,1.09,0,5.33794
0.33,0,1.1,1,5.40432
0.33,0,1.11,0,5.34403
0.33,0,1.12,1,5.40934
0.33,0,1.13,0,5.34971
0.33,0,1.14,1,5.41392
0.33,0,1.15,0,5.35498
0.33,0,1.16,1,5.41809
0.33,0,1.17,0,5.35987
0.33,0,1.18,1,5.42185
0.33,0,1.19,0,5.36439
0.33,0,1.2,1,5.42522
0.33,0,1.21,0,5.36854
0.33,0,1.22,1,5.42822
0.33,0,1.23,0,5.37234
0.33,0,1.24,1,5.43084
0.33,0,1.25,0,5.3758
0.33,0,1.26,1,5.43311
0.33,0,1.27,0,5.37893
0.33,0,1.28,1,5.43504
0.33,0,1.29,0,5.38173
0.33,0,1.3,1,5.43663
0.33,0,1.31,0,5.38422
0.33,0,1.32,1,5.43789
0.33,0,1.33,0,5.38641
0.33,0,1.34,1,5.43884
0.33,0,1.35,0,5.3883
0.33,0,1.36,1,5.43948
0.33,0,1.37,0,5.3899
0.33,0,1.38,1,5.43982
0.33,0,1.39,0,5.39122
0.33,0,1.4,1,5.43986
0.33,0,1.41,0,5.39226
0.33,0,1.42,1,5.43961
0.33,0,1.43,0,5.39302
0.33,0,1.44,1,5.43908
0.33,0,1.45,0,5.39352
0.33,0,1.46,1,5.43826
0.33,0,1.47,0,5.39375
0.33,0,1.48,1,5.43717
0.33,0,1.49,0,5.39372
0.33,0,1.5,1,5.4358
0.34,1,0.01,0,1.67549
0.34,1,0.02,1,1.73591
0.34,1,0.03,0,2.59632
0.34,1,0.04,1,2.66306
0.34,1,0.05,0,3.19436
0.34,1,0.06,1,3.13783
0.34,1,0.07,0,3.97962
0.34,1,0.08,1,3.80635
0.34,1,0.09,0,4.82944
0.34,1,0.1,1,4.67075
0.34,1,0.11,0,5.55928
0.34,1,0.12,1,5.57048
0.34,1,0.13,0,6.21694
0.34,1,0.14,1,6.45197
0.34,1,0.15,0,6.86048
0.34,1,0.16,1,7.20897
0.34,1,0.17,0,7.49245
0.34,1,0.18,1,7.81679
0.34,1,0.19,0,8.00972
0.34,1,0.2,1,8.2341
0.34,1,0.21,0,8.33739
0.34,1,0.22,1,8.49555
0.34,1,0.23,0,8.55784
0.34,1,0.24,1,8.6638
0.34,1,0.25,0,8.68687
0.34,1,0.26,1,8.74958
0.34,1,0.27,0,8.73807
0.34,1,0.28,1,8.77126
0.34,1,0.29,0,8.7306
0.34,1,0.3,1,8.73767
0.34,1,0.31,0,8.66784
0.34,1,0.32,1,8.64381
0.34,1,0.33,0,8.54352
0.34,1,0.34,1,8.48725
0.34,1,0.35,0,8.36145
0.34,1,0.36,1,8.28524
0.34,1,0.37,0,8.14236
0.34,1,0.38,1,8.06413
0.34,1,0.39,0,7.90493
0.34,1,0.4,1,7.84492
0.34,1,0.41,0,7.6639
0.34,1,0.42,1,7.65443
0.34,1,0.43,0,7.43352
0.34,1,0.44,1,7.4728
0.34,1,0.45,0,7.16214
0.34,1,0.46,1,7.18995
0.34,1,0.47,0,6.77294
0.34,1,0.48,1,6.66348
0.34,1,0.49,0,6.13522
0.34,1,0.5,1,5.94529
0.34,1,0.51,0,5.52219
0.34,1,0.52,1,5.48151
0.34,1,0.53,0,5.22231
0.34,1,0.54,1,5.27309
0.34,1,0.55,0,5.09704
0.34,1,0.56,1,5.1837
0.34,1,0.57,0,5.04666
0.34,1,0.58,1,5.14756
0.34,1,0.59,0,5.03048
0.34,1,0.6,1,5.13672
0.34,1,0.61,0,5.03086
0.34,1,0.62,1,5.13838
0.34,1,0.63,0,5.03942
0.34,1,0.64,1,5.14635
0.34,1,0.65,0,5.05201
0.34,1,0.66,1,5.1575
0.34,1,0.67,0,5.0665
0.34,1,0.68,1,5.17022
0.34,1,0.69,0,5.08178
0.34,1,0.7,1,5.18364
0.34,1,0.71,0,5.09727
0.34,1,0.72,1,5.19732
0.34,1,0.73,0,5.11265
0.34,1,0.74,1,5.21097
0.34,1,0.75,0,5.12774
0.34,1,0.76,1,5.22445
0.34,1,0.77,0,5.14245
0.34,1,0.78,1,5.23764
0.34,1,0.79,0,5.15671
0.34,1,0.8,1,5.25049
0.34,1,0.81,0,5.1705
0.34,1,0.82,1,5.26294
0.34,1,0.83,0,5.18378
0.34,1,0.84,1,5.27497
0.34,1,0.85,0,5.19656
0.34,1,0.86,1,5.28655
0.34,1,0.87,0,5.20882
0.34,1,0.88,1,5.29766
0.34,1,0.89,0,5.22057
0.34,1,0.9,1,5.30829
0.34,1,0.91,0,5.23182
0.34,1,0.92,1,5.31845
0.34,1,0.93,0,5.24256
0.34,1,0.94,1,5.32812
0.34,1,0.95,0,5.25281
0.34,1,0.96,1,5.33732
0.34,1,0.97,0,5.26259
0.34,1,0.98,1,5.34604
0.34,1,0.99,0,5.2719
0.34,1,1,1,5.35431
0.34,1,1.01,0,5.28075
0.34,1,1.02,1,5.36211
0.34,1,1.03,0,5.28917
0.34,1,1.04,1,5.36948
0.34,1,1.05,0,5.29716
0.34,1,1.06,1,5.37641
0.34,1,1.07,0,5.30475
0.34,1,1.08,1,5.38292
0.34,1,1.09,0,5.31194
0.34,1,1.1,1,5.38903
0.34,1,1.11,0,5.31875
0.34,1,1.12,1,5.39474
0.34,1,1.13,0,5.32519
0.34,1,1.14,1,5.40008
0.34,1,1.15,0,5.33127
0.34,1,1.16,1,5.40505
0.34,1,1.17,0,5.33701
0.34,1,1.18,1,5.40966
0.34,1,1.19,0,5.34242
0.34,1,1.2,1,5.41392
0.34,1,1.21,0,5.34751
0.34,1,1.22,1,5.41786
0.34,1,1.23,0,5.35229
0.34,1,1.24,1,5.42147
0.34,1,1.25,0,5.35677
0.34,1,1.26,1,5.42477
0.34,1,1.27,0,5.36095
0.34,1,1.28,1,5.42777
0.34,1,1.29,0,5.36486
0.34,1,1.3,1,5.43047
0.34,1,1.31,0,5.36848
0.34,1,1.32,1,5.43289
0.34,1,1.33,0,5.37184
0.34,1,1.34,1,5.43503
0.34,1,1.35,0,5.37494
0.34,1,1.36,1,5.4369
0.34,1,1.37,0,5.37778
0.34,1,1.38,1,5.4385
0.34,1,1.39,0,5.38037
0.34,1,1.4,1,5.43984
0.34,1,1.41,0,5.38272
0.34,1,1.42,1,5.44093
0.34,1,1.43,0,5.38482
0.34,1,1.44,1,5.44176
0.34,1,1.45,0,5.38669
0.34,1,1.46,1,5.44235
0.34,1,1.47,0,5.38831
0.34,1,1.48,1,5.44269
0.34,1,1.49,0,5.38971
0.34,1,1.5,1,5.44279
0.35,0,0.01,0,2.02601
0.35,0,0.02,1,2.04231
0.35,0,0.03,0,2.85319
0.35,0,0.04,1,2.71462
0.35,0,0.05,0,3.55787
0.35,0,0.06,1,3.23753
0.35,0,0.07,0,4.36054
0.35,0,0.08,1,3.98474
0.35,0,0.09,0,5.09524
0.35,0,0.1,1,4.83101
0.35,0,0.11,0,5.69179
0.35,0,0.12,1,5.65419
0.35,0,0.13,0,6.24029
0.35,0,0.14,1,6.43957
0.35,0,0.15,0,6.8006
0.35,0,0.16,1,7.12675
0.35,0,0.17,0,7.3841
0.35,0,0.18,1,7.71542
0.35,0,0.19,0,7.90954
0.35,0,0.2,1,8.14851
0.35,0,0.21,0,8.25263
0.35,0,0.22,1,8.41774
0.35,0,0.23,0,8.48898
0.35,0,0.24,1,8.60285
0.35,0,0.25,0,8.6433
0.35,0,0.26,1,8.70715
0.35,0,0.27,0,8.71524
0.35,0,0.28,1,8.74338
0.35,0,0.29,0,8.72448
0.35,0,0.3,1,8.72529
0.35,0,0.31,0,8.68057
0.35,0,0.32,1,8.6515
0.35,0,0.33,0,8.57843
0.35,0,0.34,1,8.5153
0.35,0,0.35,0,8.41504
0.35,0,0.36,1,8.32635
0.35,0,0.37,0,8.20741
0.35,0,0.38,1,8.11241
0.35,0,0.39,0,7.98007
0.35,0,0.4,1,7.89404
0.35,0,0.41,0,7.74347
0.35,0,0.42,1,7.68704
0.35,0,0.43,0,7.51032
0.35,0,0.44,1,7.51086
0.35,0,0.45,0,7.27847
0.35,0,0.46,1,7.29943
0.35,0,0.47,0,6.97837
0.35,0,0.48,1,6.94808
0.35,0,0.49,0,6.55384
0.35,0,0.5,1,6.36062
0.35,0,0.51,0,5.91641
0.35,0,0.52,1,5.73278
0.35,0,0.53,0,5.427
0.35,0,0.54,1,5.38984
0.35,0,0.55,0,5.20721
0.35,0,0.56,1,5.24314
0.35,0,0.57,0,5.1185
0.35,0,0.58,1,5.18362
0.35,0,0.59,0,5.08575
0.35,0,0.6,1,5.163
0.35,0,0.61,0,5.07839
0.35,0,0.62,1,5.16071
0.35,0,0.63,0,5.08311
0.35,0,0.64,1,5.16734
0.35,0,0.65,0,5.09367
0.35,0,0.66,1,5.17834
0.35,0,0.67,0,5.10701
0.35,0,0.68,1,5.19144
0.35,0,0.69,0,5.12158
0.35,0,0.7,1,5.20546
0.35,0,0.71,0,5.13659
0.35,0,0.72,1,5.2198
0.35,0,0.73,0,5.15161
0.35,0,0.74,1,5.23411
0.35,0,0.75,0,5.16642
0.35,0,0.76,1,5.24821
0.35,0,0.77,0,5.18091
0.35,0,0.78,1,5.26198
0.35,0,0.79,0,5.19499
0.35,0,0.8,1,5.27535
0.35,0,0.81,0,5.20862
0.35,0,0.82,1,5.28828
0.35,0,0.83,0,5.22178
0.35,0,0.84,1,5.30073
0.35,0,0.85,0,5.23444
0.35,0,0.86,1,5.31269
0.35,0,0.87,0,5.24662
0.35,0,0.88,1,5.32413
0.35,0,0.89,0,5.25829
0.35,0,0.9,1,5.33506
0.35,0,0.91,0,5.26945
0.35,0,0.92,1,5.34547
0.35,0,0.93,0,5.28012
0.35,0,0.94,1,5.35536
0.35,0,0.95,0,5.2903
0.35,0,0.96,1,5.36473
0.35,0,0.97,0,5.29999
0.35,0,0.98,1,5.3736
0.35,0,0.99,0,5.3092
0.35,0,1,1,5.38197
0.35,0,1.01,0,5.31794
0.35,0,1.02,1,5.38985
0.35,0,1.03,0,5.32624
0.35,0,1.04,1,5.39725
0.35,0,1.05,0,5.33408
0.35,0,1.06,1,5.40419
0.35,0,1.07,0,5.3415
0.35,0,1.08,1,5.41069
0.35,0,1.09,0,5.3485
0.35,0,1.1,1,5.41675
0.35,0,1.11,0,5.3551
0.35,0,1.12,1,5.42239
0.35,0,1.13,0,5.36131
0.35,0,1.14,1,5.42763
0.35,0,1.15,0,5.36714
0.35,0,1.16,1,5.43247
0.35,0,1.17,0,5.37261
0.35,0,1.18,1,5.43695
0.35,0,1.19,0,5.37773
0.35,0,1.2,1,5.44106
0.35,0,1.21,0,5.38251
0.35,0,1.22,1,5.44482
0.35,0,1.23,0,5.38696
0.35,0,1.24,1,5.44825
0.35,0,1.25,0,5.3911
0.35,0,1.26,1,5.45135
0.35,0,1.27,0,5.39494
0.35,0,1.28,1,5.45415
0.35,0,1.29,0,5.39848
0.35,0,1.3,1,5.45664
0.35,0,1.31,0,5.40174
0.35,0,1.32,1,5.45885
0.35,0,1.33,0,5.40473
0.35,0,1.34,1,5.46078
0.35,0,1.35,0,5.40744
0.35,0,1.36,1,5.46243
0.35,0,1.37,0,5.40991
0.35,0,1.38,1,5.46383
0.35,0,1.39,0,5.41212
0.35,0,1.4,1,5.46497
0.35,0,1.41,0,5.4141
0.35,0,1.42,1,5.46586
0.35,0,1.43,0,5.41583
0.35,0,1.44,1,5.46651
0.35,0,1.45,0,5.41734
0.35,0,1.46,1,5.46693
0.35,0,1.47,0,5.41862
0.35,0,1.48,1,5.46712
0.35,0,1.49,0,5.41968
0.35,0,1.5,1,5.46708
0.36,1,0.01,0,1.81725
0.36,1,0.02,1,1.87645
0.36,1,0.03,0,2.65372
0.36,1,0.04,1,2.69968
0.36,1,0.05,0,3.23818
0.36,1,0.06,1,3.14559
0.36,1,0.07,0,4.00108
0.36,1,0.08,1,3.78311
0.36,1,0.09,0,4.77891
0.36,1,0.1,1,4.54889
0.36,1,0.11,0,5.41532
0.36,1,0.12,1,5.30956
0.36,1,0.13,0,5.99526
0.36,1,0.14,1,6.10638
0.36,1,0.15,0,6.5933
0.36,1,0.16,1,6.88486
0.36,1,0.17,0,7.21109
0.36,1,0.18,1,7.55059
0.36,1,0.19,0,7.79447
0.36,1,0.2,1,8.0603
0.36,1,0.21,0,8.1938
0.36,1,0.22,1,8.3718
0.36,1,0.23,0,8.45133
0.36,1,0.24,1,8.57998
0.36,1,0.25,0,8.62523
0.36,1,0.26,1,8.70739
0.36,1,0.27,0,8.71563
0.36,1,0.28,1,8.76286
0.36,1,0.29,0,8.74026
0.36,1,0.3,1,8.76232
0.36,1,0.31,0,8.71274
0.36,1,0.32,1,8.70897
0.36,1,0.33,0,8.63194
0.36,1,0.34,1,8.59783
0.36,1,0.35,0,8.49493
0.36,1,0.36,1,8.43526
0.36,1,0.37,0,8.31551
0.36,1,0.38,1,8.24709
0.36,1,0.39,0,8.11893
0.36,1,0.4,1,8.05628
0.36,1,0.41,0,7.91631
0.36,1,0.42,1,7.86936
0.36,1,0.43,0,7.70547
0.36,1,0.44,1,7.6939
0.36,1,0.45,0,7.4832
0.36,1,0.46,1,7.50649
0.36,1,0.47,0,7.20013
0.36,1,0.48,1,7.22082
0.36,1,0.49,0,6.82456
0.36,1,0.5,1,6.7602
0.36,1,0.51,0,6.27412
0.36,1,0.52,1,6.07382
0.36,1,0.53,0,5.62627
0.36,1,0.54,1,5.54763
0.36,1,0.55,0,5.27006
0.36,1,0.56,1,5.30583
0.36,1,0.57,0,5.12522
0.36,1,0.58,1,5.20584
0.36,1,0.59,0,5.06938
0.36,1,0.6,1,5.16669
0.36,1,0.61,0,5.05176
0.36,1,0.62,1,5.15508
0.36,1,0.63,0,5.05175
0.36,1,0.64,1,5.15661
0.36,1,0.65,0,5.06015
0.36,1,0.66,1,5.1646
0.36,1,0.67,0,5.07257
0.36,1,0.68,1,5.17575
0.36,1,0.69,0,5.08684
0.36,1,0.7,1,5.18842
0.36,1,0.71,0,5.10184
0.36,1,0.72,1,5.20173
0.36,1,0.73,0,5.11699
0.36,1,0.74,1,5.21523
0.36,1,0.75,0,5.13201
0.36,1,0.76,1,5.22867
0.36,1,0.77,0,5.14671
0.36,1,0.78,1,5.24189
0.36,1,0.79,0,5.16102
0.36,1,0.8,1,5.2548
0.36,1,0.81,0,5.17487
0.36,1,0.82,1,5.26735
0.36,1,0.83,0,5.18825
0.36,1,0.84,1,5.27949
0.36,1,0.85,0,5.20114
0.36,1,0.86,1,5.29121
0.36,1,0.87,0,5.21353
0.36,1,0.88,1,5.30248
0.36,1,0.89,0,5.22542
0.36,1,0.9,1,5.31329
0.36,1,0.91,0,5.23682
0.36,1,0.92,1,5.32365
0.36,1,0.93,0,5.24774
0.36,1,0.94,1,5.33354
0.36,1,0.95,0,5.25818
0.36,1,0.96,1,5.34298
0.36,1,0.97,0,5.26816
0.36,1,0.98,1,5.35197
0.36,1,0.99,0,5.27769
0.36,1,1,1,5.36052
0.36,1,1.01,0,5.28678
0.36,1,1.02,1,5.36863
0.36,1,1.03,0,5.29546
0.36,1,1.04,1,5.37633
0.36,1,1.05,0,5.30372
0.36,1,1.06,1,5.38361
0.36,1,1.07,0,5.3116
0.36,1,1.08,1,5.3905
0.36,1,1.09,0,5.3191
0.36,1,1.1,1,5.39701
0.36,1,1.11,0,5.32623
0.36,1,1.12,1,5.40315
0.36,1,1.13,0,5.33302
0.36,1,1.14,1,5.40893
0.36,1,1.15,0,5.33947
0.36,1,1.16,1,5.41437
0.36,1,1.17,0,5.3456
0.36,1,1.18,1,5.41948
0.36,1,1.19,0,5.35141
0.36,1,1.2,1,5.42428
0.36,1,1.21,0,5.35693
0.36,1,1.22,1,5.42876
0.36,1,1.23,0,5.36216
0.36,1,1.24,1,5.43296
0.36,1,1.25,0,5.36712
0.36,1,1.26,1,5.43687
0.36,1,1.27,0,5.3718
0.36,1,1.28,1,5.4405
0.36,1,1.29,0,5.37623
0.36,1,1.3,1,5.44387
0.36,1,1.31,0,5.3804
0.36,1,1.32,1,5.44699
0.36,1,1.33,0,5.38434
0.36,1,1.34,1,5.44986
0.36,1,1.35,0,5.38804
0.36,1,1.36,1,5.45249
0.36,1,1.37,0,5.39151
0.36,1,1.38,1,5.45489
0.36,1,1.39,0,5.39476
0.36,1,1.4,1,5.45706
0.36,1,1.41,0,5.39779
0.36,1,1.42,1,5.45901
0.36,1,1.43,0,5.40061
0.36,1,1.44,1,5.46075
0.36,1,1.45,0,5.40323
0.36,1,1.46,1,5.46228
0.36,1,1.47,0,5.40564
0.36,1,1.48,1,5.4636
0.36,1,1.49,0,5.40786
0.36,1,1.5,1,5.46472
0.37,0,0.01,0,2.14382
0.37,0,0.02,1,2.1427
0.37,0,0.03,0,2.92559
0.37,0,0.04,1,2.7503
0.37,0,0.05,0,3.62281
0.37,0,0.06,1,3.26089
0.37,0,0.07,0,4.39802
0.37,0,0.08,1,3.97674
0.37,0,0.09,0,5.06894
