N/100,pN,Z/100,pZ,przewidywane_BE/A(MeV)
0.02,1,0.3,1,2.51885
0.02,1,0.31,0,1.72669
0.02,1,0.32,1,2.37831
0.02,1,0.33,0,1.67897
0.02,1,0.34,1,2.21852
0.02,1,0.35,0,1.6129
0.02,1,0.36,1,2.04078
0.02,1,0.37,0,1.52806
0.02,1,0.38,1,1.84617
0.02,1,0.39,0,1.42191
0.02,1,0.4,1,1.63493
0.02,1,0.41,0,1.28861
0.02,1,0.42,1,1.40484
0.02,1,0.43,0,1.11772
0.02,1,0.44,1,1.14919
0.02,1,0.45,0,0.89405
0.02,1,0.46,1,0.85627
0.02,1,0.47,0,0.6022
0.02,1,0.48,1,0.51625
0.02,1,0.49,0,0.24137
0.02,1,0.5,1,0.13742
0.02,1,0.51,0,-0.15614
0.02,1,0.52,1,-0.24527
0.02,1,0.53,0,-0.53212
0.02,1,0.54,1,-0.59145
0.02,1,0.55,0,-0.84274
0.02,1,0.56,1,-0.88384
0.02,1,0.57,0,-1.08166
0.02,1,0.58,1,-1.12845
0.02,1,0.59,0,-1.26596
0.02,1,0.6,1,-1.33864
0.02,1,0.61,0,-1.41596
0.02,1,0.62,1,-1.5251
0.02,1,0.63,0,-1.54676
0.02,1,0.64,1,-1.69418
0.02,1,0.65,0,-1.66772
0.02,1,0.66,1,-1.84915
0.02,1,0.67,0,-1.78413
0.02,1,0.68,1,-1.99175
0.02,1,0.69,0,-1.89877
0.02,1,0.7,1,-2.12304
0.02,1,0.71,0,-2.01291
0.02,1,0.72,1,-2.24383
0.02,1,0.73,0,-2.1269
0.02,1,0.74,1,-2.35492
0.02,1,0.75,0,-2.2405
0.02,1,0.76,1,-2.45707
0.02,1,0.77,0,-2.35305
0.02,1,0.78,1,-2.55105
0.02,1,0.79,0,-2.46369
0.02,1,0.8,1,-2.63759
0.02,1,0.81,0,-2.57143
0.02,1,0.82,1,-2.71739
0.02,1,0.83,0,-2.6753
0.02,1,0.84,1,-2.79108
0.02,1,0.85,0,-2.77445
0.02,1,0.86,1,-2.85925
0.02,1,0.87,0,-2.8682
0.02,1,0.88,1,-2.92243
0.02,1,0.89,0,-2.95608
0.02,1,0.9,1,-2.98107
0.02,1,0.91,0,-3.03782
0.02,1,0.92,1,-3.03559
0.02,1,0.93,0,-3.11337
0.02,1,0.94,1,-3.08636
0.02,1,0.95,0,-3.18282
0.02,1,0.96,1,-3.1337
0.02,1,0.97,0,-3.2464
0.02,1,0.98,1,-3.1779
0.02,1,0.99,0,-3.30444
0.02,1,1,1,-3.21921
0.02,1,1.01,0,-3.35729
0.02,1,1.02,1,-3.25786
0.02,1,1.03,0,-3.40536
0.02,1,1.04,1,-3.29406
0.02,1,1.05,0,-3.44905
0.02,1,1.06,1,-3.328
0.02,1,1.07,0,-3.48875
0.02,1,1.08,1,-3.35983
0.02,1,1.09,0,-3.52484
0.02,1,1.1,1,-3.38971
0.02,1,1.11,0,-3.55766
0.02,1,1.12,1,-3.41777
0.02,1,1.13,0,-3.58753
0.02,1,1.14,1,-3.44415
0.02,1,1.15,0,-3.61475
