N/100,pN,Z/100,pZ,BE/A(MeV),przewidywane_BE/A(MeV)
0.47,0,0.35,0,8.68249,8.68323
0.46,1,0.36,1,8.71068,8.71749
0.45,0,0.37,0,8.64743,8.65848
0.44,1,0.38,1,8.63572,8.64209
0.43,0,0.39,0,8.52927,8.52835
0.42,1,0.4,1,8.46568,8.46115
0.52,1,0.31,0,8.37257,8.34055
0.51,0,0.32,1,8.50434,8.47997
0.5,1,0.33,0,8.59965,8.57551
0.49,0,0.34,1,8.65856,8.65111
0.48,1,0.35,0,8.69338,8.68521
0.47,0,0.36,1,8.69573,8.69693
0.46,1,0.37,0,8.67522,8.68132
0.45,0,0.38,1,8.63841,8.64351
0.44,1,0.39,0,8.57366,8.57671
0.43,0,0.4,1,8.4884,8.48505
0.42,1,0.41,0,8.3783,8.37728
0.52,1,0.32,1,8.46552,8.43911
0.51,0,0.33,0,8.54794,8.52706
0.5,1,0.34,1,8.65879,8.63857
0.49,0,0.35,0,8.67133,8.6592
0.48,1,0.36,1,8.71745,8.71083
0.47,0,0.37,0,8.67622,8.67387
0.46,1,0.38,1,8.67751,8.67989
0.45,0,0.39,0,8.58778,8.59356
0.44,1,0.4,1,8.54903,8.54803
0.43,0,0.41,0,8.41825,8.41204
0.53,0,0.32,1,8.40177,8.38743
0.52,1,0.33,0,8.51098,8.49249
0.51,0,0.34,1,8.6103,8.59477
0.5,1,0.35,0,8.67359,8.65184
0.49,0,0.36,1,8.69856,8.68423
0.48,1,0.37,0,8.69744,8.68813
0.47,0,0.38,1,8.67572,8.67208
0.46,1,0.39,0,8.62815,8.62934
0.45,0,0.4,1,8.56404,8.5648
0.44,1,0.41,0,8.47371,8.47537
0.43,0,0.42,1,8.36133,8.37155
0.54,1,0.32,1,8.35463,8.34145
0.53,0,0.33,0,8.45672,8.43937
0.52,1,0.34,1,8.58182,8.56997
0.51,0,0.35,0,8.63237,8.61771
0.5,1,0.36,1,8.71203,8.68809
0.49,0,0.37,0,8.6969,8.67271
0.48,1,0.38,1,8.70846,8.69752
0.47,0,0.39,0,8.63843,8.63523
0.46,1,0.4,1,8.61405,8.61326
0.45,0,0.41,0,8.50222,8.50403
0.44,1,0.42,1,8.43471,8.44446
0.54,1,0.33,0,8.41385,8.39809
0.53,0,0.34,1,8.52909,8.52016
0.52,1,0.35,0,8.60591,8.59998
0.51,0,0.36,1,8.67528,8.65541
0.5,1,0.37,0,8.71098,8.67879
0.49,0,0.38,1,8.70524,8.68164
0.48,1,0.39,0,8.67484,8.66066
0.47,0,0.4,1,8.62365,8.62063
0.46,1,0.41,0,8.55176,8.55306
0.45,0,0.42,1,8.46242,8.47049
0.44,1,0.43,0,8.34774,8.37148
0.54,1,0.34,1,8.495,8.48478
0.53,0,0.35,0,8.56375,8.55729
0.52,1,0.36,1,8.65685,8.64853
0.51,0,0.37,0,8.68112,8.6559
0.5,1,0.38,1,8.7326,8.69735
0.49,0,0.39,0,8.68254,8.65636
0.48,1,0.4,1,8.66603,8.65633
0.47,0,0.41,0,8.57242,8.57237
0.46,1,0.42,1,8.52391,8.52881
0.45,0,0.43,0,8.38996,8.4031
0.55,0,0.34,1,8.43528,8.43307
0.54,1,0.35,0,8.53078,8.52908
0.53,0,0.36,1,8.61481,8.60922
0.52,1,0.37,0,8.66419,8.6534
0.51,0,0.38,1,8.70592,8.67437
0.5,1,0.39,0,8.71398,8.67303
0.49,0,0.4,1,8.67336,8.65368
0.48,1,0.41,0,8.61681,8.60893
0.47,0,0.42,1,8.54498,8.54855
0.46,1,0.43,0,8.45057,8.464
0.56,1,0.34,1,8.39577,8.39102
0.55,0,0.35,0,8.47819,8.47965
0.54,1,0.36,1,8.59126,8.59099
0.53,0,0.37,0,8.63151,8.62275
0.52,1,0.38,1,8.69597,8.68073
0.51,0,0.39,0,8.69335,8.6597
0.5,1,0.4,1,8.70997,8.67849
0.49,0,0.41,0,8.63338,8.6171
0.48,1,0.42,1,8.59703,8.59322
0.47,0,0.43,0,8.48336,8.49053
0.46,1,0.44,1,8.40977,8.43503
0.57,0,0.34,1,8.33484,8.34418
0.56,1,0.35,0,8.44192,8.44297
0.55,0,0.36,1,8.54175,8.54505
0.54,1,0.37,0,8.60756,8.61084
0.53,0,0.38,1,8.66387,8.65102
0.52,1,0.39,0,8.68494,8.66839
0.51,0,0.4,1,8.69331,8.6664
0.5,1,0.41,0,8.6709,8.6432
0.49,0,0.42,1,8.61363,8.60364
0.48,1,0.43,0,8.53666,8.53781
0.47,0,0.44,1,8.44293,8.45923
0.57,0,0.35,0,8.38491,8.3923
0.56,1,0.36,1,8.51267,8.51603
0.55,0,0.37,0,8.56942,8.572
0.54,1,0.38,1,8.64891,8.64779
0.53,0,0.39,0,8.66159,8.64683
0.52,1,0.4,1,8.69268,8.68176
0.51,0,0.41,0,8.66237,8.64021
0.5,1,0.42,1,8.65773,8.63611
0.49,0,0.43,0,8.56354,8.55556
0.48,1,0.44,1,8.50477,8.51123
0.47,0,0.45,0,8.37342,8.39018
0.58,1,0.35,0,8.3456,8.35071
0.57,0,0.36,1,8.45811,8.46586
0.56,1,0.37,0,8.54092,8.5502
0.55,0,0.38,1,8.61279,8.61117
0.54,1,0.39,0,8.6489,8.64758
0.53,0,0.4,1,8.67162,8.66115
0.52,1,0.41,0,8.66418,8.65758
0.51,0,0.42,1,8.65141,8.63589
0.5,1,0.43,0,8.60858,8.59079
0.49,0,0.44,1,8.53146,8.52956
0.48,1,0.45,0,8.43482,8.44753
0.58,1,0.36,1,8.42433,8.4288
0.57,0,0.37,0,8.49276,8.50408
0.56,1,0.38,1,8.59383,8.59798
0.55,0,0.39,0,8.62281,8.61802
0.54,1,0.4,1,8.6668,8.6679
0.53,0,0.41,0,8.6489,8.64437
0.52,1,0.42,1,8.66233,8.65798
0.51,0,0.43,0,8.60874,8.59751
0.5,1,0.44,1,8.58366,8.56902
0.49,0,0.45,0,8.4724,8.4681
0.48,1,0.46,1,8.39168,8.40856
0.59,0,0.36,1,8.366,8.38013
0.58,1,0.37,0,8.46021,8.47332
0.57,0,0.38,1,8.54911,8.55458
0.56,1,0.39,0,8.60497,8.61041
0.55,0,0.4,1,8.64359,8.6395
0.54,1,0.41,0,8.64721,8.65408
0.53,0,0.42,1,8.64872,8.64734
0.52,1,0.43,0,8.62269,8.62261
0.51,0,0.44,1,8.58747,8.57863
0.5,1,0.45,0,8.52537,8.51255
0.49,0,0.46,1,8.42898,8.42887
0.6,1,0.36,1,8.33085,8.33894
0.59,0,0.37,0,8.4089,8.42388
0.58,1,0.38,1,8.52127,8.53168
0.57,0,0.39,0,8.56949,8.57297
0.56,1,0.4,1,8.63533,8.63795
0.55,0,0.41,0,8.62889,8.63177
0.54,1,0.42,1,8.65399,8.66075
0.53,0,0.43,0,8.61487,8.618
0.52,1,0.44,1,8.60941,8.60697
0.51,0,0.45,0,8.53467,8.52575
0.5,1,0.46,1,8.49002,8.4757
0.49,0,0.47,0,8.36029,8.35415
0.61,0,0.36,1,8.26986,8.29803
0.6,1,0.37,0,8.37619,8.38697
0.59,0,0.38,1,8.47186,8.48331
0.58,1,0.39,0,8.54152,8.5567
0.57,0,0.4,1,8.60378,8.60227
0.56,1,0.41,0,8.62317,8.6343
0.55,0,0.42,1,8.63509,8.64076
0.54,1,0.43,0,8.62372,8.6348
0.53,0,0.44,1,8.60428,8.60662
0.52,1,0.45,0,8.55989,8.55886
0.51,0,0.46,1,8.50243,8.49159
0.5,1,0.47,0,8.42241,8.40857
0.61,0,0.37,0,8.33073,8.34083
0.6,1,0.38,1,8.44575,8.45249
0.59,0,0.39,0,8.49768,8.51245
0.58,1,0.4,1,8.58145,8.59251
0.57,0,0.41,0,8.5963,8.60388
0.56,1,0.42,1,8.63517,8.6467
0.55,0,0.43,0,8.61,8.61995
0.54,1,0.44,1,8.62031,8.6257
0.53,0,0.45,0,8.5608,8.56277
0.52,1,0.46,1,8.5339,8.52722
0.51,0,0.47,0,8.44169,8.42471
0.5,1,0.48,1,8.37829,8.36235
0.62,1,0.37,0,8.2953,8.30054
0.61,0,0.38,1,8.40255,8.40386
0.6,1,0.39,0,8.47676,8.48807
0.59,0,0.4,1,8.53926,8.55048
0.58,1,0.41,0,8.57899,8.59932
0.57,0,0.42,1,8.6078,8.61875
0.56,1,0.43,0,8.61361,8.62981
0.55,0,0.44,1,8.60871,8.61576
0.54,1,0.45,0,8.58016,8.58649
0.53,0,0.46,1,8.53793,8.53642
0.52,1,0.47,0,8.47477,8.46714
0.51,0,0.48,1,8.39837,8.3804
0.63,0,0.37,0,8.24432,8.26256
0.62,1,0.38,1,8.37223,8.36827
0.61,0,0.39,0,8.43948,8.44047
0.6,1,0.4,1,8.52215,8.53294
0.59,0,0.41,0,8.54853,8.56196
0.58,1,0.42,1,8.60466,8.61802
0.57,0,0.43,0,8.59512,8.60643
0.56,1,0.44,1,8.61936,8.62741
0.55,0,0.45,0,8.57517,8.58101
0.54,1,0.46,1,8.56357,8.56224
0.53,0,0.47,0,8.48499,8.47849
0.52,1,0.48,1,8.43774,8.42518
0.51,0,0.49,0,8.3311,8.30253
0.5,1,0.5,1,8.25297,8.23745
0.63,0,0.38,1,8.32474,8.32559
0.62,1,0.39,0,8.41339,8.40984
0.61,0,0.4,1,8.48589,8.48682
0.6,1,0.41,0,8.53483,8.55037
0.59,0,0.42,1,8.57292,8.58364
0.58,1,0.43,0,8.59314,8.61018
0.57,0,0.44,1,8.60137,8.60929
0.56,1,0.45,0,8.58822,8.59721
0.55,0,0.46,1,8.56086,8.56371
0.54,1,0.47,0,8.51255,8.51046
0.53,0,0.48,1,8.45037,8.44062
0.51,0,0.5,1,8.2811,8.2535
0.64,1,0.38,1,8.29122,8.28768
0.63,0,0.39,0,8.37192,8.36465
0.62,1,0.4,1,8.46636,8.46277
0.61,0,0.41,0,8.50493,8.5081
0.6,1,0.42,1,8.56845,8.57677
0.59,0,0.43,0,8.57065,8.58025
0.58,1,0.44,1,8.60743,8.61497
0.57,0,0.45,0,8.57698,8.58359
0.56,1,0.46,1,8.58029,8.58153
0.55,0,0.47,0,8.51716,8.51532
0.54,1,0.48,1,8.48413,8.47539
0.53,0,0.49,0,8.38857,8.37072
0.52,1,0.5,1,8.32443,8.30827
0.64,1,0.39,0,8.34264,8.33009
0.63,0,0.4,1,8.42589,8.41678
0.62,1,0.41,0,8.48833,8.48997
0.61,0,0.42,1,8.53833,8.53794
0.6,1,0.43,0,8.5661,8.57836
0.59,0,0.44,1,8.58436,8.59052
0.58,1,0.45,0,8.58419,8.59379
0.57,0,0.46,1,8.57102,8.5755
0.56,1,0.47,0,8.53765,8.53867
0.55,0,0.48,1,8.48975,8.48624
0.54,1,0.49,0,8.42372,8.41307
0.53,0,0.5,1,8.34176,8.32475
0.64,1,0.4,1,8.40238,8.38828
0.63,0,0.41,0,8.45346,8.44632
0.62,1,0.42,1,8.52796,8.52549
0.61,0,0.43,0,8.54115,8.54405
0.6,1,0.44,1,8.5874,8.59126
0.59,0,0.45,0,8.56895,8.57392
0.58,1,0.46,1,8.58485,8.58711
0.57,0,0.47,0,8.53618,8.53668
0.56,1,0.48,1,8.51762,8.5122
0.55,0,0.49,0,8.43524,8.42517
0.54,1,0.5,1,8.38391,8.36989
0.53,0,0.51,0,8.25664,8.24563
0.66,1,0.39,0,8.26902,8.25443
0.65,0,0.4,1,8.35866,8.34744
0.64,1,0.41,0,8.43169,8.42275
0.63,0,0.42,1,8.49492,8.48486
0.62,1,0.43,0,8.53464,8.53681
0.61,0,0.44,1,8.5619,8.56245
0.6,1,0.45,0,8.5727,8.57914
0.59,0,0.46,1,8.57065,8.57463
0.58,1,0.47,0,8.55037,8.55326
0.57,0,0.48,1,8.51685,8.51723
0.56,1,0.49,0,8.4647,8.45774
0.55,0,0.5,1,8.39723,8.3852
0.54,1,0.51,0,8.30099,8.29957
0.53,0,0.52,1,8.18684,8.19575
0.66,1,0.4,1,8.32845,8.31627
0.65,0,0.41,0,8.39327,8.38223
0.64,1,0.42,1,8.47958,8.46765
0.63,0,0.43,0,8.50656,8.5006
0.62,1,0.44,1,8.56094,8.55893
0.61,0,0.45,0,8.55393,8.55506
0.6,1,0.46,1,8.57999,8.58151
0.59,0,0.47,0,8.54464,8.54509
0.58,1,0.48,1,8.53905,8.53597
0.57,0,0.49,0,8.47012,8.4654
0.56,1,0.5,1,8.43204,8.42116
0.55,0,0.51,0,8.32201,8.31339
0.54,1,0.52,1,8.23677,8.25074
0.67,0,0.4,1,8.28707,8.2834
0.66,1,0.41,0,8.36709,8.35446
0.65,0,0.42,1,8.44228,8.42844
0.64,1,0.43,0,8.4929,8.48836
0.63,0,0.44,1,8.53337,8.52772
0.62,1,0.45,0,8.5541,8.55593
0.61,0,0.46,1,8.56089,8.56401
0.6,1,0.47,0,8.5539,8.55643
0.59,0,0.48,1,8.53335,8.53488
0.58,1,0.49,0,8.49402,8.48983
0.57,0,0.5,1,8.43949,8.43343
0.56,1,0.51,0,8.35873,8.35696
0.55,0,0.52,1,8.2569,8.26561
0.67,0,0.41,0,8.32567,8.3205
0.66,1,0.42,1,8.42222,8.40746
0.65,0,0.43,0,8.46282,8.45295
0.64,1,0.44,1,8.52722,8.52039
0.63,0,0.45,0,8.53267,8.52955
0.62,1,0.46,1,8.56702,8.5672
0.61,0,0.47,0,8.54202,8.54333
0.6,1,0.48,1,8.55002,8.54805
0.59,0,0.49,0,8.49525,8.49216
0.58,1,0.5,1,8.46903,8.46112
0.57,0,0.51,0,8.37267,8.36971
0.56,1,0.52,1,8.30372,8.31191
0.55,0,0.53,0,8.17488,8.18637
0.68,1,0.41,0,8.29713,8.28878
0.67,0,0.42,1,8.38148,8.37252
0.66,1,0.43,0,8.44418,8.43612
0.65,0,0.44,1,8.49623,8.48861
0.64,1,0.45,0,8.52814,8.52637
0.63,0,0.46,1,8.54488,8.54611
0.62,1,0.47,0,8.54792,8.55049
0.61,0,0.48,1,8.53876,8.54126
0.6,1,0.49,0,8.5131,8.51015
0.59,0,0.5,1,8.47052,8.46891
0.58,1,0.51,0,8.40481,8.40393
0.57,0,0.52,1,8.31933,8.32674
0.56,1,0.53,0,8.22002,8.24119
0.55,0,0.54,1,8.10731,8.13609
0.69,0,0.41,0,8.25526,8.26119
0.68,1,0.42,1,8.35935,8.34848
0.67,0,0.43,0,8.41126,8.40391
0.66,1,0.44,1,8.48631,8.47781
0.65,0,0.45,0,8.50425,8.49934
0.64,1,0.46,1,8.54716,8.54622
0.63,0,0.47,0,8.53211,8.53384
0.62,1,0.48,1,8.55128,8.55026
0.61,0,0.49,0,8.50891,8.50718
0.6,1,0.5,1,8.49609,8.48965
0.59,0,0.51,0,8.41268,8.41368
0.58,1,0.52,1,8.35812,8.36453
0.57,0,0.53,0,8.24404,8.25391
0.56,1,0.54,1,8.15928,8.19123
0.69,0,0.42,1,8.31529,8.31876
0.68,1,0.43,0,8.39009,8.38274
0.67,0,0.44,1,8.45296,8.44702
0.66,1,0.45,0,8.49563,8.49223
0.65,0,0.46,1,8.52175,8.52278
0.64,1,0.47,0,8.53479,8.53743
0.63,0,0.48,1,8.53708,8.53859
0.62,1,0.49,0,8.52228,8.52019
0.61,0,0.5,1,8.49313,8.49222
0.6,1,0.51,0,8.44012,8.43992
0.59,0,0.52,1,8.36776,8.37756
0.58,1,0.53,0,8.28293,8.29903
0.57,0,0.54,1,8.18077,8.20462
0.69,0,0.43,0,8.35362,8.35482
0.68,1,0.44,1,8.43924,8.43297
0.67,0,0.45,0,8.46887,8.46582
0.66,1,0.46,1,8.52072,8.52012
0.65,0,0.47,0,8.51608,8.51845
0.64,1,0.48,1,8.54473,8.54441
0.63,0,0.49,0,8.51467,8.51252
0.62,1,0.5,1,8.51362,8.50747
0.61,0,0.51,0,8.44363,8.44541
0.6,1,0.52,1,8.40065,8.40743
0.59,0,0.53,0,8.29988,8.31191
0.58,1,0.54,1,8.23006,8.25203
0.57,0,0.55,0,8.10044,8.12626
0.7,1,0.43,0,8.32946,8.32907
0.69,0,0.44,1,8.40269,8.40407
0.68,1,0.45,0,8.45682,8.45472
0.67,0,0.46,1,8.49258,8.49531
0.66,1,0.47,0,8.51606,8.51877
0.65,0,0.48,1,8.52699,8.52879
0.64,1,0.49,0,8.52293,8.52164
0.63,0,0.5,1,8.50681,8.50474
0.62,1,0.51,0,8.46527,8.4652
0.61,0,0.52,1,8.40464,8.4171
0.6,1,0.53,0,8.33375,8.34805
0.59,0,0.54,1,8.24793,8.2662
0.58,1,0.55,0,8.14862,8.18176
0.71,0,0.43,0,8.29026,8.30431
0.7,1,0.44,1,8.38534,8.38678
0.69,0,0.45,0,8.42662,8.42968
0.68,1,0.46,1,8.48801,8.48993
0.67,0,0.47,0,8.49378,8.4984
0.66,1,0.48,1,8.53151,8.53206
0.65,0,0.49,0,8.51197,8.51011
0.64,1,0.5,1,8.52257,8.51585
0.63,0,0.51,0,8.46252,8.46593
0.62,1,0.52,1,8.43278,8.44008
0.6,1,0.54,1,8.2892,8.30578
0.59,0,0.55,0,8.17354,8.19331
0.58,1,0.56,1,8.08969,8.13124
0.72,1,0.43,0,8.26853,8.27286
0.71,0,0.44,1,8.34755,8.3595
0.7,1,0.45,0,8.41066,8.41436
0.69,0,0.46,1,8.45774,8.46439
0.68,1,0.47,0,8.49055,8.49543
0.67,0,0.48,1,8.51072,8.51331
0.66,1,0.49,0,8.51655,8.516
0.65,0,0.5,1,8.51407,8.50815
0.64,1,0.51,0,8.48092,8.48067
0.63,0,0.52,1,8.43115,8.44534
0.62,1,0.53,0,8.37456,8.38736
0.61,0,0.54,1,8.30097,8.31914
0.72,1,0.44,1,8.32688,8.33865
0.71,0,0.45,0,8.37761,8.3906
0.7,1,0.46,1,8.44928,8.45616
0.69,0,0.47,0,8.46591,8.47433
0.68,1,0.48,1,8.51235,8.51428
0.67,0,0.49,0,8.50162,8.5015
0.66,1,0.5,1,8.52312,8.51616
0.65,0,0.51,0,8.47582,8.47677
0.64,1,0.52,1,8.45569,8.46271
0.63,0,0.53,0,8.3819,8.39512
0.62,1,0.54,1,8.33683,8.35116
0.73,0,0.44,1,8.28556,8.31121
0.72,1,0.45,0,8.35928,8.37049
0.71,0,0.46,1,8.41693,8.43009
0.7,1,0.47,0,8.45945,8.46784
0.69,0,0.48,1,8.48897,8.49308
0.68,1,0.49,0,8.50387,8.50447
0.67,0,0.5,1,8.50961,8.50409
0.66,1,0.51,0,8.4879,8.48759
0.65,0,0.52,1,8.45092,8.46307
0.64,1,0.53,0,8.40441,8.41678
0.63,0,0.54,1,8.3443,8.36214
0.62,1,0.55,0,8.27186,8.29042
0.61,0,0.56,1,8.18795,8.20496
0.73,0,0.45,0,8.32286,8.34683
0.72,1,0.46,1,8.40522,8.41872
0.71,0,0.47,0,8.43389,8.44627
0.7,1,0.48,1,8.48783,8.49175
0.69,0,0.49,0,8.48567,8.4877
0.68,1,0.5,1,8.51653,8.50967
0.67,0,0.51,0,8.47892,8.47954
0.66,1,0.52,1,8.46975,8.47611
0.65,0,0.53,0,8.40612,8.42035
0.64,1,0.54,1,8.37498,8.38735
0.63,0,0.55,0,8.2864,8.30232
0.74,1,0.45,0,8.30339,8.32102
0.73,0,0.46,1,8.36896,8.39174
0.72,1,0.47,0,8.42321,8.43582
0.71,0,0.48,1,8.46144,8.46853
0.7,1,0.49,0,8.48614,8.48776
0.69,0,0.5,1,8.49945,8.49386
0.68,1,0.51,0,8.48791,8.48719
0.67,0,0.52,1,8.46207,8.47155
0.66,1,0.53,0,8.42679,8.43678
0.65,0,0.54,1,8.37844,8.39471
0.64,1,0.55,0,8.31733,8.33249
0.63,0,0.56,1,8.24593,8.25938
0.74,1,0.46,1,8.35709,8.37674
0.73,0,0.47,0,8.39533,8.4136
0.72,1,0.48,1,8.45802,8.46468
0.71,0,0.49,0,8.46626,8.46925
0.7,1,0.5,1,8.50449,8.49734
0.69,0,0.51,0,8.47563,8.47564
0.68,1,0.52,1,8.47703,8.48132
0.67,0,0.53,0,8.42372,8.43587
0.66,1,0.54,1,8.40403,8.41417
0.65,0,0.55,0,8.32848,8.34196
0.64,1,0.56,1,8.28029,8.2933
0.76,1,0.45,0,8.24524,8.26221
0.75,0,0.46,1,8.32086,8.34764
0.74,1,0.47,0,8.38233,8.39856
0.73,0,0.48,1,8.431,8.43961
0.72,1,0.49,0,8.46389,8.46615
0.71,0,0.5,1,8.4852,8.47836
0.7,1,0.51,0,8.48207,8.48053
0.69,0,0.52,1,8.46688,8.47214
0.68,1,0.53,0,8.44146,8.4482
0.67,0,0.54,1,8.40383,8.41712
0.66,1,0.55,0,8.35291,8.36547
0.65,0,0.56,1,8.29391,8.30515
0.76,1,0.46,1,8.30597,8.32833
0.75,0,0.47,0,8.35276,8.37491
0.74,1,0.48,1,8.42427,8.43284
0.73,0,0.49,0,8.44212,8.44618
0.72,1,0.5,1,8.48791,8.4798
0.71,0,0.51,0,8.46833,8.46608
0.7,1,0.52,1,8.47814,8.47943
0.69,0,0.53,0,8.43702,8.44299
0.68,1,0.54,1,8.42466,8.432
0.67,0,0.55,0,8.35915,8.37136
0.66,1,0.56,1,8.32376,8.33244
0.77,0,0.46,1,8.27003,8.29501
0.76,1,0.47,0,8.3378,8.35441
0.75,0,0.48,1,8.3954,8.40574
0.74,1,0.49,0,8.43795,8.43949
0.73,0,0.5,1,8.46724,8.45808
0.72,1,0.51,0,8.47233,8.4683
0.71,0,0.52,1,8.46555,8.46609
0.7,1,0.53,0,8.4492,8.45209
0.69,0,0.54,1,8.42093,8.4302
0.68,1,0.55,0,8.38038,8.38944
0.67,0,0.56,1,8.33021,8.34143
0.77,0,0.47,0,8.30865,8.32785
0.76,1,0.48,1,8.38704,8.3955
0.75,0,0.49,0,8.41434,8.41804
0.74,1,0.5,1,8.46742,8.45728
0.73,0,0.51,0,8.45616,8.4515
0.72,1,0.52,1,8.47328,8.47135
0.71,0,0.53,0,8.44149,8.443
0.7,1,0.54,1,8.43756,8.44159
0.69,0,0.55,0,8.38343,8.39115
0.68,1,0.56,1,8.35582,8.36291
0.67,0,0.57,0,8.27829,8.28694
0.78,1,0.47,0,8.29331,8.30078
0.77,0,0.48,1,8.35768,8.36568
0.76,1,0.49,0,8.40845,8.40713
0.75,0,0.5,1,8.44555,8.43307
0.74,1,0.51,0,8.45817,8.45089
0.73,0,0.52,1,8.45805,8.45434
0.72,1,0.53,0,8.4503,8.44938
0.71,0,0.54,1,8.43089,8.43509
0.7,1,0.55,0,8.39979,8.40493
0.69,0,0.56,1,8.35818,8.36806
0.68,1,0.57,0,8.30464,8.31217
0.78,1,0.48,1,8.34675,8.35131
0.77,0,0.49,0,8.38432,8.38381
0.76,1,0.5,1,8.44352,8.42965
0.75,0,0.51,0,8.44031,8.43208
0.74,1,0.52,1,8.46325,8.45773
0.73,0,0.53,0,8.43994,8.43694
0.72,1,0.54,1,8.44354,8.44383
0.71,0,0.55,0,8.39927,8.40233
0.7,1,0.56,1,8.37972,8.38474
0.69,0,0.57,0,8.31243,8.32
0.68,1,0.58,1,8.27326,8.27624
0.79,0,0.48,1,8.31695,8.31748
0.78,1,0.49,0,8.37495,8.36786
0.77,0,0.5,1,8.42056,8.40298
0.76,1,0.51,0,8.43982,8.42826
0.75,0,0.52,1,8.44612,8.43749
0.74,1,0.53,0,8.44549,8.44082
0.73,0,0.54,1,8.43411,8.4329
0.72,1,0.55,0,8.41156,8.41273
0.71,0,0.56,1,8.37846,8.38549
0.7,1,0.57,0,8.33354,8.33967
0.69,0,0.58,1,8.28079,8.28648
0.8,1,0.48,1,8.30326,8.29815
0.79,0,0.49,0,8.35109,8.34181
0.78,1,0.5,1,8.41698,8.3964
0.77,0,0.51,0,8.42078,8.40762
0.76,1,0.52,1,8.44875,8.43889
0.75,0,0.53,0,8.43284,8.42555
0.74,1,0.54,1,8.4433,8.43957
0.73,0,0.55,0,8.40649,8.40603
0.72,1,0.56,1,8.39606,8.3984
0.71,0,0.57,0,8.33719,8.34374
0.7,1,0.58,1,8.30692,8.30978
0.69,0,0.59,0,8.22891,8.23094
0.81,0,0.48,1,8.26903,8.25832
0.8,1,0.49,0,8.33878,8.31984
0.79,0,0.5,1,8.39282,8.36697
0.78,1,0.51,0,8.41806,8.40001
0.77,0,0.52,1,8.43041,8.41577
0.76,1,0.53,0,8.43599,8.42687
0.75,0,0.54,1,8.43139,8.4246
0.74,1,0.55,0,8.41605,8.41367
0.73,0,0.56,1,8.3911,8.39453
0.72,1,0.57,0,8.35605,8.3589
0.71,0,0.58,1,8.31094,8.31681
0.7,1,0.59,0,8.25438,8.25763
0.82,1,0.48,1,8.25259,8.23294
0.81,0,0.49,0,8.314,8.28963
0.8,1,0.5,1,8.38682,8.35657
0.79,0,0.51,0,8.39736,8.37744
0.78,1,0.52,1,8.43032,8.41487
0.77,0,0.53,0,8.4211,8.4092
0.76,1,0.54,1,8.43773,8.42948
0.75,0,0.55,0,8.40878,8.40327
0.74,1,0.56,1,8.40555,8.40458
0.73,0,0.57,0,8.35619,8.35881
0.72,1,0.58,1,8.33322,8.33519
0.71,0,0.59,0,8.26376,8.26708
0.7,1,0.6,1,8.22251,8.21943
0.83,0,0.48,1,8.20617,8.18467
0.82,1,0.49,0,8.29796,8.26047
0.81,0,0.5,1,8.36252,8.32366
0.8,1,0.51,0,8.39255,8.36531
0.79,0,0.52,1,8.41123,8.38906
0.78,1,0.53,0,8.4223,8.40767
0.77,0,0.54,1,8.42374,8.4109
0.76,1,0.55,0,8.41506,8.4085
0.75,0,0.56,1,8.39859,8.39616
0.74,1,0.57,0,8.37037,8.37042
0.73,0,0.58,1,8.3334,8.33825
0.72,1,0.59,0,8.28614,8.28817
0.71,0,0.6,1,8.2303,8.23062
0.83,0,0.49,0,8.25371,8.2243
0.82,1,0.5,1,8.35487,8.30866
0.81,0,0.51,0,8.37234,8.34039
0.8,1,0.52,1,8.40849,8.38536
0.79,0,0.53,0,8.40646,8.38791
0.78,1,0.54,1,8.42762,8.41399
0.77,0,0.55,0,8.40559,8.39487
0.76,1,0.56,1,8.40938,8.40401
0.75,0,0.57,0,8.36776,8.36615
0.74,1,0.58,1,8.35234,8.35263
0.73,0,0.59,0,8.29154,8.29436
0.72,1,0.6,1,8.25681,8.25546
0.83,0,0.5,1,8.31009,8.27098
0.82,1,0.51,0,8.36473,8.32284
0.81,0,0.52,1,8.38902,8.35684
0.8,1,0.53,0,8.40511,8.38305
0.79,0,0.54,1,8.41265,8.3922
0.78,1,0.55,0,8.40998,8.39775
0.77,0,0.56,1,8.40021,8.39131
0.76,1,0.57,0,8.37884,8.37492
0.75,0,0.58,1,8.34983,8.35132
0.74,1,0.59,0,8.31026,8.31081
0.73,0,0.6,1,8.26223,8.26404
0.72,1,0.61,0,8.20428,8.20243
0.84,1,0.5,1,8.27517,8.25051
0.83,0,0.51,0,8.32595,8.29471
0.82,1,0.52,1,8.38364,8.34972
0.81,0,0.53,0,8.38907,8.36132
0.8,1,0.54,1,8.4137,8.39328
0.79,0,0.55,0,8.39865,8.38135
0.78,1,0.56,1,8.40817,8.39738
0.77,0,0.57,0,8.37449,8.36671
0.76,1,0.58,1,8.36577,8.36259
0.75,0,0.59,0,8.31288,8.31313
0.74,1,0.6,1,8.28554,8.28393
0.73,0,0.61,0,8.21323,8.21322
0.85,0,0.5,1,8.23069,8.20624
0.84,1,0.51,0,8.29199,8.2707
0.83,0,0.52,1,8.34574,8.31817
0.82,1,0.53,0,8.38476,8.35246
0.81,0,0.54,1,8.39848,8.36858
0.8,1,0.55,0,8.40134,8.38171
0.79,0,0.56,1,8.39753,8.38074
0.78,1,0.57,0,8.3828,8.37308
0.77,0,0.58,1,8.36198,8.35678
0.76,1,0.59,0,8.32893,8.32586
0.75,0,0.6,1,8.28815,8.28906
