Z	A	EL	mass excess	err	B/A	err	est
24	58	Cr	-51991.801	1.490	8643.998	0.026	0
25	58	Mn	-55827.560	2.701	8696.643	0.047	0
26	58	Fe	-62155.113	0.343	8792.250	0.006	0
27	58	Co	-59847.158	1.160	8738.969	0.020	0
28	58	Ni	-60228.744	0.373	8732.059	0.006	0
29	58	Cu	-51667.725	0.578	8570.967	0.010	0
30	58	Zn	-42298.744	50.001	8395.944	0.862	0
31	58	Ga	-23540.	300.	8059.	5.	1
32	58	Ge	-7080.	500.	7762.	9.	1
21	59	Sc	-10302.	400.	7967.	7.	1
22	59	Ti	-25510.	200.	8212.	3.	1
23	59	V	-37832.015	161.874	8407.555	2.744	0
24	59	Cr	-48085.760	216.367	8568.087	3.667	0
25	59	Mn	-55525.320	2.329	8680.921	0.039	0
26	59	Fe	-60664.805	0.355	8754.771	0.006	0
27	59	Co	-62229.709	0.418	8768.035	0.007	0
28	59	Ni	-61156.707	0.374	8736.588	0.006	0
29	59	Cu	-56358.327	0.544	8642.000	0.009	0
30	59	Zn	-47215.551	0.771	8473.777	0.013	0
31	59	Ga	-33760.	170.	8232.	3.	1
32	59	Ge	-15870.	400.	7916.	7.	1
21	60	Sc	-4052.	500.	7865.	8.	1
22	60	Ti	-22330.	300.	8157.	5.	1
23	60	V	-33241.956	220.159	8325.450	3.669	0
24	60	Cr	-46669.576	193.593	8536.205	3.227	0
25	60	Mn	-52967.938	2.329	8628.138	0.039	0
26	60	Fe	-61413.017	3.409	8755.851	0.057	0
27	60	Co	-61650.309	0.424	8746.766	0.007	0
28	60	Ni	-64473.118	0.376	8780.774	0.006	0
29	60	Cu	-58345.137	1.618	8665.602	0.027	0
30	60	Zn	-54174.340	0.564	8583.050	0.009	0
31	60	Ga	-39590.	200.	8327.	3.	1
32	60	Ge	-27090.	300.	8106.	5.	1
33	60	As	-5470.	400.	7732.	7.	1
21	61	Sc	931.	600.	7787.	10.	1
22	61	Ti	-16350.	400.	8057.	7.	1
23	61	V	-30506.429	894.234	8276.439	14.660	0
24	61	Cr	-42475.229	101.341	8459.824	1.661	0
25	61	Mn	-51742.122	2.329	8598.915	0.038	0
26	61	Fe	-58920.494	2.608	8703.768	0.043	0
27	61	Co	-62898.066	0.846	8756.148	0.014	0
28	61	Ni	-64221.905	0.378	8765.025	0.006	0
29	61	Cu	-61984.059	0.953	8715.514	0.016	0
30	61	Zn	-56348.903	15.899	8610.309	0.261	0
31	61	Ga	-47134.659	37.994	8446.431	0.623	0
32	61	Ge	-33360.	300.	8208.	5.	1
33	61	As	-16900.	300.	7925.	5.	1
22	62	Ti	-12500.	400.	7995.	6.	1
23	62	V	-25476.	298.	8192.	5.	1
24	62	Cr	-40894.961	148.099	8428.069	2.389	0
25	62	Mn	-48523.957	6.542	8538.499	0.106	0
26	62	Fe	-58878.048	2.794	8692.882	0.045	0
27	62	Co	-61424.282	18.575	8721.332	0.300	0
28	62	Ni	-66746.323	0.439	8794.553	0.007	0
29	62	Cu	-62787.426	0.647	8718.081	0.010	0
30	62	Zn	-61167.972	0.625	8679.343	0.010	0
31	62	Ga	-51986.906	0.647	8518.642	0.010	0
32	62	Ge	-41740.	140.	8341.	2.	1
33	62	As	-24320.	300.	8047.	5.	1
22	63	Ti	-5750.	500.	7889.	8.	1
23	63	V	-21890.	400.	8133.	6.	1
24	63	Cr	-36007.474	358.073	8344.828	5.684	0
25	63	Mn	-46887.053	3.726	8505.101	0.059	0
26	63	Fe	-55635.621	4.302	8631.549	0.068	0
27	63	Co	-61851.440	18.575	8717.795	0.295	0
28	63	Ni	-65512.775	0.440	8763.493	0.007	0
29	63	Cu	-65579.752	0.440	8752.138	0.007	0
30	63	Zn	-62213.397	1.561	8686.285	0.025	0
31	63	Ga	-56547.093	1.304	8583.926	0.021	0
32	63	Ge	-46921.216	37.260	8418.716	0.591	0
33	63	As	-33500.	200.	8193.	3.	1
22	64	Ti	-1025.	600.	7818.	9.	1
23	64	V	-16320.	400.	8045.	6.	1
24	64	Cr	-33479.757	439.665	8301.058	6.870	0
25	64	Mn	-42989.035	3.540	8437.417	0.055	0
26	64	Fe	-54969.544	5.017	8612.388	0.078	0
27	64	Co	-59792.329	20.006	8675.520	0.313	0
28	64	Ni	-67098.921	0.475	8777.461	0.007	0
29	64	Cu	-65424.545	0.448	8739.075	0.007	0
30	64	Zn	-66004.014	0.647	8735.905	0.010	0
31	64	Ga	-58832.821	1.429	8611.631	0.022	0
32	64	Ge	-54315.496	3.726	8528.823	0.058	0
33	64	As	-39532.	203.	8286.	3.	1
34	64	Se	-26700.	503.	8073.	8.	1
23	65	V	-11780.	500.	7976.	8.	1
24	65	Cr	-28220.	300.	8217.	5.	1
25	65	Mn	-40967.339	3.726	8400.681	0.057	0
26	65	Fe	-51217.895	5.112	8546.346	0.079	0
27	65	Co	-59185.198	2.083	8656.884	0.032	0
28	65	Ni	-65125.685	0.495	8736.240	0.008	0
29	65	Cu	-67263.660	0.650	8757.096	0.010	0
30	65	Zn	-65912.019	0.650	8724.265	0.010	0
31	65	Ga	-62657.507	0.815	8662.160	0.013	0
32	65	Ge	-56478.216	2.165	8555.058	0.033	0
33	65	As	-46937.051	84.766	8396.234	1.304	0
34	65	Se	-33020.	300.	8170.	5.	1
23	66	V	-5610.	500.	7884.	8.	1
24	66	Cr	-24720.	400.	8161.	6.	1
25	66	Mn	-36750.387	11.178	8331.798	0.169	0
26	66	Fe	-50067.839	4.099	8521.724	0.062	0
27	66	Co	-56408.533	13.972	8605.941	0.212	0
28	66	Ni	-66006.285	1.397	8739.508	0.021	0
29	66	Cu	-66258.272	0.655	8731.472	0.010	0
30	66	Zn	-68899.160	0.749	8759.632	0.011	0
31	66	Ga	-63723.660	1.096	8669.361	0.017	0
32	66	Ge	-61607.032	2.401	8625.437	0.036	0
33	66	As	-52025.077	5.682	8468.403	0.086	0
34	66	Se	-41660.	200.	8300.	3.	1
23	67	V	-650.	600.	7812.	9.	1
24	67	Cr	-18680.	400.	8070.	6.	1
25	67	Mn	-33460.	300.	8279.	4.	1
26	67	Fe	-45610.155	270.285	8448.469	4.034	0
27	67	Co	-55321.775	6.443	8581.741	0.096	0
28	67	Ni	-63742.680	2.888	8695.750	0.043	0
29	67	Cu	-67319.513	0.894	8737.458	0.013	0
30	67	Zn	-67880.313	0.760	8734.152	0.011	0
31	67	Ga	-66879.048	1.181	8707.531	0.018	0
32	67	Ge	-62658.230	4.661	8632.857	0.070	0
33	67	As	-56587.225	0.443	8530.568	0.007	0
34	67	Se	-46580.289	67.068	8369.534	1.001	0
35	67	Br	-32790.	400.	8152.	6.	1
24	68	Cr	-14800.	500.	8013.	7.	1
25	68	Mn	-28380.	400.	8201.	6.	1
26	68	Fe	-43486.914	365.259	8411.698	5.371	0
27	68	Co	-51930.665	189.497	8524.366	2.787	0
28	68	Ni	-63463.814	2.981	8682.466	0.044	0
29	68	Cu	-65567.035	1.584	8701.890	0.023	0
30	68	Zn	-70007.092	0.784	8755.680	0.012	0
31	68	Ga	-67085.992	1.433	8701.218	0.021	0
32	68	Ge	-66978.789	1.876	8688.136	0.028	0
33	68	As	-58894.519	1.846	8557.745	0.027	0
34	68	Se	-54189.441	0.496	8477.047	0.007	0
35	68	Br	-38791.	259.	8239.	4.	1
24	69	Cr	-8580.	500.	7924.	7.	1
25	69	Mn	-24770.	400.	8147.	6.	1
26	69	Fe	-39030.	400.	8342.	6.	1
27	69	Co	-50279.157	140.506	8493.865	2.036	0
28	69	Ni	-59978.648	3.726	8623.099	0.054	0
29	69	Cu	-65736.213	1.397	8695.204	0.020	0
30	69	Zn	-68417.845	0.800	8722.729	0.012	0
31	69	Ga	-69327.809	1.197	8724.579	0.017	0
32	69	Ge	-67100.663	1.318	8680.963	0.019	0
33	69	As	-63112.171	31.999	8611.821	0.464	0
34	69	Se	-56434.706	1.490	8503.707	0.022	0
35	69	Br	-46259.470	42.003	8344.902	0.609	0
36	69	Kr	-32435.	401.	8133.	6.	1
24	70	Cr	-4480.	600.	7867.	9.	1
25	70	Mn	-19500.	500.	8070.	7.	1
26	70	Fe	-36510.	400.	8302.	6.	1
27	70	Co	-46630.	300.	8436.	4.	1
28	70	Ni	-59213.860	2.144	8604.291	0.031	0
29	70	Cu	-62976.373	1.082	8646.865	0.015	0
30	70	Zn	-69564.735	1.918	8729.808	0.027	0
31	70	Ga	-68910.140	1.201	8709.280	0.017	0
32	70	Ge	-70561.876	0.838	8721.700	0.012	0
33	70	As	-64341.876	50.007	8621.666	0.714	0
34	70	Se	-61929.891	1.584	8576.033	0.023	0
35	70	Br	-51425.619	14.904	8414.796	0.213	0
36	70	Kr	-41100.	200.	8256.	3.	1
25	71	Mn	-15570.	500.	8015.	7.	1
26	71	Fe	-31430.	400.	8227.	6.	1
27	71	Co	-44369.926	465.030	8398.734	6.550	0
28	71	Ni	-55406.228	2.237	8543.156	0.032	0
29	71	Cu	-62711.127	1.490	8635.022	0.021	0
30	71	Zn	-67328.777	2.654	8689.041	0.037	0
31	71	Ga	-70139.135	0.812	8717.604	0.011	0
32	71	Ge	-69906.497	0.834	8703.309	0.012	0
33	71	As	-67893.097	4.167	8663.932	0.059	0
34	71	Se	-63146.507	2.794	8586.060	0.039	0
35	71	Br	-56502.418	5.402	8481.462	0.076	0
36	71	Kr	-46327.205	128.769	8327.130	1.814	0
37	71	Rb	-32060.	400.	8115.	6.	1
25	72	Mn	-9900.	600.	7937.	8.	1
26	72	Fe	-28430.	500.	8184.	7.	1
27	72	Co	-40200.	400.	8336.	6.	1
28	72	Ni	-54226.060	2.237	8520.211	0.031	0
29	72	Cu	-59782.999	1.397	8586.525	0.019	0
30	72	Zn	-68145.486	2.142	8691.805	0.030	0
31	72	Ga	-68588.293	0.819	8687.089	0.011	0
32	72	Ge	-72585.900	0.076	8731.745	0.001	0
33	72	As	-68229.798	4.083	8660.378	0.057	0
34	72	Se	-67868.180	1.956	8644.489	0.027	0
35	72	Br	-59061.743	1.025	8511.312	0.014	0
36	72	Kr	-53940.575	8.011	8429.319	0.111	0
37	72	Rb	-38330.	500.	8202.	7.	1
26	73	Fe	-22900.	500.	8106.	7.	1
27	73	Co	-37418.	400.	8295.	5.	1
28	73	Ni	-50108.152	2.423	8457.652	0.033	0
29	73	Cu	-58987.437	1.942	8568.569	0.027	0
30	73	Zn	-65593.402	1.863	8648.345	0.026	0
31	73	Ga	-69699.335	1.677	8693.873	0.023	0
32	73	Ge	-71297.523	0.057	8705.049	0.001	0
33	73	As	-70952.747	3.853	8689.609	0.053	0
34	73	Se	-68227.387	7.424	8641.558	0.102	0
35	73	Br	-63647.475	7.266	8568.103	0.100	0
36	73	Kr	-56551.751	6.578	8460.184	0.090	0
37	73	Rb	-46082.	200.	8306.	3.	1
38	73	Sr	-31950.	401.	8102.	5.	1
26	74	Fe	-19590.	600.	8061.	8.	1
27	74	Co	-32820.	500.	8229.	7.	1
28	74	Ni	-48456.	196.	8430.	3.	1
29	74	Cu	-56006.205	6.148	8521.562	0.083	0
30	74	Zn	-65756.712	2.515	8642.754	0.034	0
31	74	Ga	-68049.617	2.994	8663.167	0.040	0
32	74	Ge	-73422.442	0.013	8725.200	0.000	0
33	74	As	-70860.054	1.693	8680.001	0.023	0
34	74	Se	-72213.201	0.015	8687.715	0.000	0
35	74	Br	-65288.153	5.835	8583.561	0.079	0
36	74	Kr	-62331.836	2.013	8533.038	0.027	0
37	74	Rb	-51916.009	3.027	8381.712	0.041	0
38	74	Sr	-40827.	100.	8221.	1.	1
26	75	Fe	-13640.	600.	7982.	8.	1
27	75	Co	-29649.	500.	8185.	7.	1
28	75	Ni	-44030.	300.	8366.	4.	1
29	75	Cu	-54471.341	2.330	8495.094	0.031	0
30	75	Zn	-62558.908	1.956	8592.497	0.026	0
31	75	Ga	-68464.580	2.422	8660.808	0.032	0
32	75	Ge	-71856.965	0.052	8695.609	0.001	0
33	75	As	-73034.195	0.884	8700.874	0.012	0
34	75	Se	-72169.481	0.073	8678.913	0.001	0
35	75	Br	-69107.009	4.285	8627.649	0.057	0
36	75	Kr	-64323.624	8.104	8553.439	0.108	0
37	75	Rb	-57218.694	1.180	8448.275	0.016	0
38	75	Sr	-46618.694	220.003	8296.511	2.933	0
39	75	Y	-31820.	300.	8089.	4.	1
27	76	Co	-24510.	600.	8116.	8.	1
28	76	Ni	-41630.	400.	8331.	5.	1
29	76	Cu	-50975.985	6.707	8443.527	0.088	0
30	76	Zn	-62303.016	1.456	8582.273	0.019	0
31	76	Ga	-66296.640	1.956	8624.526	0.026	0
32	76	Ge	-73212.889	0.018	8705.236	0.000	0
33	76	As	-72291.377	0.886	8682.816	0.012	0
34	76	Se	-75251.950	0.016	8711.477	0.000	0
35	76	Br	-70289.068	9.322	8635.882	0.123	0
36	76	Kr	-69013.714	4.013	8608.807	0.053	0
37	76	Rb	-60479.081	0.938	8486.215	0.012	0
38	76	Sr	-54247.639	34.465	8393.929	0.453	0
39	76	Y	-38480.	300.	8176.	4.	1
27	77	Co	-21015.	600.	8070.	8.	1
28	77	Ni	-36800.	500.	8265.	6.	1
29	77	Cu	-48624.	149.	8408.	2.	1
30	77	Zn	-58789.195	1.973	8530.003	0.026	0
31	77	Ga	-65992.344	2.422	8613.390	0.031	0
32	77	Ge	-71212.862	0.053	8671.028	0.001	0
33	77	As	-73916.318	1.693	8695.978	0.022	0
34	77	Se	-74599.488	0.062	8694.690	0.001	0
35	77	Br	-73234.809	2.811	8666.806	0.037	0
36	77	Kr	-70169.443	1.956	8616.836	0.025	0
37	77	Rb	-64830.492	1.304	8537.339	0.017	0
38	77	Sr	-57803.436	7.918	8435.918	0.103	0
39	77	Y	-46439.	203.	8278.	3.	1
40	77	Zr	-32040.	400.	8081.	5.	1
28	78	Ni	-33890.	600.	8225.	8.	1
29	78	Cu	-44497.469	503.007	8350.925	6.449	0
30	78	Zn	-57483.235	1.944	8507.379	0.025	0
31	78	Ga	-63705.950	1.903	8577.127	0.024	0
32	78	Ge	-71862.050	3.536	8671.663	0.045	0
33	78	As	-72816.940	9.781	8673.875	0.125	0
34	78	Se	-77025.944	0.179	8717.806	0.002	0
35	78	Br	-73452.160	3.580	8661.959	0.046	0
36	78	Kr	-74178.275	0.307	8661.238	0.004	0
37	78	Rb	-66935.419	3.237	8558.350	0.042	0
38	78	Sr	-63173.941	7.452	8500.096	0.096	0
39	78	Y	-52173.	298.	8349.	4.	1
40	78	Zr	-40850.	400.	8194.	5.	1
28	79	Ni	-27570.	600.	8143.	8.	1
29	79	Cu	-41740.	300.	8312.	4.	1
30	79	Zn	-53432.295	2.225	8450.582	0.028	0
31	79	Ga	-62547.679	1.868	8556.063	0.024	0
32	79	Ge	-69526.592	37.181	8634.501	0.471	0
33	79	As	-73636.049	5.328	8676.616	0.067	0
34	79	Se	-75917.459	0.223	8695.592	0.003	0
35	79	Br	-76068.035	1.021	8687.594	0.013	0
36	79	Kr	-74442.257	3.486	8657.112	0.044	0
37	79	Rb	-70802.985	2.142	8601.142	0.027	0
38	79	Sr	-65476.889	8.383	8523.820	0.106	0
39	79	Y	-57817.833	79.177	8416.967	1.002	0
40	79	Zr	-46770.	300.	8267.	4.	1
41	79	Nb	-31650.	500.	8066.	6.	1
28	80	Ni	-22630.	700.	8080.	9.	1
29	80	Cu	-36200.	400.	8240.	5.	1
30	80	Zn	-51648.612	2.585	8423.545	0.032	0
31	80	Ga	-59223.667	2.891	8508.454	0.036	0
32	80	Ge	-69535.306	2.054	8627.570	0.026	0
33	80	As	-72214.493	3.333	8651.280	0.042	0
34	80	Se	-77759.457	0.963	8710.813	0.012	0
35	80	Br	-75888.993	1.012	8677.653	0.013	0
36	80	Kr	-77893.346	0.691	8692.928	0.009	0
37	80	Rb	-72175.467	1.863	8611.675	0.023	0
38	80	Sr	-70311.459	3.464	8578.596	0.043	0
39	80	Y	-61148.152	6.242	8454.275	0.078	0
40	80	Zr	-54360.	300.	8360.	4.	1
41	80	Nb	-38420.	400.	8151.	5.	1
29	81	Cu	-31420.	500.	8179.	6.	1
30	81	Zn	-46199.663	5.030	8351.925	0.062	0
31	81	Ga	-57627.954	3.264	8483.357	0.040	0
32	81	Ge	-66291.687	2.055	8580.658	0.025	0
33	81	As	-72533.304	2.644	8648.056	0.033	0
34	81	Se	-76388.988	0.992	8685.999	0.012	0
35	81	Br	-77977.034	0.978	8695.946	0.012	0
36	81	Kr	-77696.181	1.074	8682.820	0.013	0
37	81	Rb	-75456.670	4.904	8645.513	0.061	0
38	81	Sr	-71528.125	3.128	8587.354	0.039	0
39	81	Y	-65712.912	5.405	8505.902	0.067	0
40	81	Zr	-57460.139	94.081	8394.358	1.161	0
41	81	Nb	-46360.	400.	8248.	5.	1
42	81	Mo	-31750.	500.	8058.	6.	1
29	82	Cu	-25320.	600.	8103.	7.	1
30	82	Zn	-42313.954	3.074	8301.117	0.037	0
31	82	Ga	-52930.719	2.426	8421.049	0.030	0
32	82	Ge	-65415.067	2.241	8563.756	0.027	0
33	82	As	-70105.419	3.729	8611.414	0.045	0
34	82	Se	-77593.882	0.467	8693.196	0.006	0
35	82	Br	-77498.661	0.971	8682.494	0.012	0
36	82	Kr	-80591.78515	0.00549	8710.675	0.000	0
37	82	Rb	-76187.803	3.009	8647.427	0.037	0
38	82	Sr	-76010.053	5.992	8635.718	0.073	0
39	82	Y	-68064.091	5.499	8529.275	0.067	0
40	82	Zr	-63631.287	11.178	8465.676	0.136	0
41	82	Nb	-52090.	300.	8315.	4.	1
42	82	Mo	-40370.	400.	8163.	5.	1
30	83	Zn	-36290.	300.	8226.	4.	1
31	83	Ga	-49257.122	2.613	8372.575	0.031	0
32	83	Ge	-60976.435	2.427	8504.345	0.029	0
33	83	As	-69669.323	2.799	8599.653	0.034	0
34	83	Se	-75340.530	3.036	8658.555	0.037	0
35	83	Br	-79013.709	3.795	8693.384	0.046	0
36	83	Kr	-79990.633	0.009	8695.729	0.000	0
37	83	Rb	-79070.630	2.329	8675.218	0.028	0
38	83	Sr	-76797.606	6.834	8638.407	0.082	0
39	83	Y	-72205.665	18.631	8573.656	0.224	0
40	83	Zr	-65911.654	6.430	8488.399	0.077	0
41	83	Nb	-57556.083	150.902	8378.304	1.818	0
42	83	Mo	-46340.	401.	8234.	5.	1
43	83	Tc	-31320.	500.	8043.	6.	1
30	84	Zn	-31930.	400.	8172.	5.	1
31	84	Ga	-44088.	200.	8307.	2.	1
32	84	Ge	-58148.428	3.171	8465.524	0.038	0
33	84	As	-65853.560	3.171	8547.938	0.038	0
34	84	Se	-75947.721	1.961	8658.793	0.023	0
35	84	Br	-77783.084	25.730	8671.329	0.306	0
36	84	Kr	-82439.33510	0.00379	8717.446	0.000	0
37	84	Rb	-79758.964	2.194	8676.224	0.026	0
38	84	Sr	-80649.570	1.243	8677.512	0.015	0
39	84	Y	-73894.431	4.299	8587.780	0.051	0
40	84	Zr	-71421.686	5.499	8549.029	0.065	0
41	84	Nb	-61218.717	13.041	8418.252	0.155	0
42	84	Mo	-54170.	298.	8325.	4.	1
43	84	Tc	-37700.	400.	8120.	5.	1
30	85	Zn	-25230.	500.	8092.	6.	1
31	85	Ga	-39849.	298.	8255.	4.	1
32	85	Ge	-53123.420	3.729	8401.768	0.044	0
33	85	As	-63189.144	3.078	8510.984	0.036	0
34	85	Se	-72413.636	2.613	8610.304	0.031	0
35	85	Br	-78575.469	3.078	8673.592	0.036	0
36	85	Kr	-81480.331	2.000	8698.562	0.024	0
37	85	Rb	-82167.33050	0.00498	8697.441	0.000	0
38	85	Sr	-81103.280	2.813	8675.718	0.033	0
39	85	Y	-77842.123	18.965	8628.148	0.223	0
40	85	Zr	-73175.189	6.430	8564.039	0.076	0
41	85	Nb	-66279.676	4.099	8473.711	0.048	0
42	85	Mo	-57509.753	15.835	8361.331	0.186	0
43	85	Tc	-45850.	400.	8215.	5.	1
44	85	Ru	-30950.	500.	8030.	6.	1
31	86	Ga	-34080.	400.	8186.	5.	1
32	86	Ge	-49399.922	437.802	8354.629	5.091	0
33	86	As	-58962.142	3.450	8456.721	0.040	0
34	86	Se	-70503.167	2.520	8581.822	0.029	0
35	86	Br	-75632.252	3.078	8632.365	0.036	0
36	86	Kr	-83265.66564	0.00369	8712.029	0.000	0
37	86	Rb	-82746.993	0.200	8696.901	0.002	0
38	86	Sr	-84523.08935	0.00522	8708.456	0.000	0
39	86	Y	-79283.089	14.142	8638.428	0.164	0
40	86	Zr	-77969.014	3.566	8614.051	0.041	0
41	86	Nb	-69134.054	5.499	8502.222	0.064	0
42	86	Mo	-64110.245	3.726	8434.709	0.043	0
43	86	Tc	-51570.	300.	8280.	3.	1
44	86	Ru	-39770.	400.	8133.	5.	1
31	87	Ga	-29250.	500.	8129.	6.	1
32	87	Ge	-44078.	300.	8290.	3.	1
33	87	As	-55617.907	2.985	8413.851	0.034	0
34	87	Se	-66426.125	2.241	8529.091	0.026	0
35	87	Br	-73891.676	3.171	8605.910	0.036	0
36	87	Kr	-80709.522	0.246	8675.283	0.003	0
37	87	Rb	-84597.791	0.006	8710.983	0.000	0
38	87	Sr	-84880.06595	0.00510	8705.236	0.000	0
39	87	Y	-83018.376	1.128	8674.844	0.013	0
40	87	Zr	-79347.137	4.146	8623.654	0.048	0
41	87	Nb	-73874.486	6.802	8551.757	0.078	0
42	87	Mo	-66884.808	2.857	8462.424	0.033	0
43	87	Tc	-57690.044	4.192	8347.744	0.048	0
44	87	Ru	-45520.	400.	8199.	5.	1
32	88	Ge	-40138.	400.	8243.	5.	1
33	88	As	-50720.	196.	8354.	2.	1
34	88	Se	-63884.195	3.357	8495.004	0.038	0
35	88	Br	-70715.959	3.171	8563.747	0.036	0
36	88	Kr	-79691.286	2.608	8656.849	0.030	0
37	88	Rb	-82608.995	0.159	8681.115	0.002	0
38	88	Sr	-87921.61793	0.00558	8732.595	0.000	0
39	88	Y	-84299.018	1.500	8682.539	0.017	0
40	88	Zr	-83628.871	5.403	8666.033	0.061	0
41	88	Nb	-76173.586	58.810	8572.424	0.668	0
42	88	Mo	-72686.544	3.819	8523.908	0.043	0
43	88	Tc	-61681.315	149.039	8389.958	1.694	0
44	88	Ru	-54340.	300.	8298.	3.	1
45	88	Rh	-36860.	400.	8090.	5.	1
32	89	Ge	-33729.	400.	8169.	4.	1
33	89	As	-46798.	298.	8307.	3.	1
34	89	Se	-58992.391	3.729	8435.279	0.042	0
35	89	Br	-68274.263	3.264	8530.779	0.037	0
36	89	Kr	-76535.785	2.142	8614.815	0.024	0
37	89	Rb	-81712.388	5.427	8664.189	0.061	0
38	89	Sr	-86209.017	0.092	8705.922	0.001	0
39	89	Y	-87708.352	1.612	8713.978	0.018	0
40	89	Zr	-84875.561	3.083	8673.359	0.035	0
41	89	Nb	-80625.209	23.631	8616.812	0.266	0
42	89	Mo	-75014.935	3.912	8544.984	0.044	0
43	89	Tc	-67394.848	3.819	8450.575	0.043	0
44	89	Ru	-58260.	298.	8339.	3.	1
45	89	Rh	-45861.	361.	8191.	4.	1
32	90	Ge	-29221.	500.	8118.	6.	1
33	90	As	-41330.	400.	8244.	4.	1
34	90	Se	-55800.217	329.749	8395.766	3.664	0
35	90	Br	-64000.298	3.357	8478.186	0.037	0
36	90	Kr	-74959.250	1.863	8591.259	0.021	0
37	90	Rb	-79364.404	6.484	8631.512	0.072	0
38	90	Sr	-85948.127	2.124	8695.972	0.024	0
39	90	Y	-86494.062	1.611	8693.345	0.018	0
40	90	Zr	-88772.535	0.118	8709.969	0.001	0
41	90	Nb	-82661.519	3.317	8633.376	0.037	0
42	90	Mo	-80172.503	3.463	8597.028	0.038	0
43	90	Tc	-70724.687	1.025	8483.359	0.011	0
44	90	Ru	-64883.792	3.730	8409.768	0.041	0
45	90	Rh	-51700.	300.	8255.	3.	1
46	90	Pd	-39710.	400.	8113.	4.	1
33	91	As	-36896.	400.	8193.	4.	1
34	91	Se	-50580.124	433.145	8334.837	4.760	0
35	91	Br	-61107.294	3.544	8441.923	0.039	0
36	91	Kr	-70973.965	2.236	8541.751	0.025	0
37	91	Rb	-77745.037	7.801	8607.561	0.086	0
38	91	Sr	-83651.927	5.453	8663.875	0.060	0
39	91	Y	-86351.295	1.843	8684.941	0.020	0
40	91	Zr	-87895.566	0.105	8693.314	0.001	0
41	91	Nb	-86638.001	2.926	8670.897	0.032	0
42	91	Mo	-82208.821	6.238	8613.628	0.069	0
43	91	Tc	-75986.646	2.363	8536.655	0.026	0
44	91	Ru	-68239.823	2.221	8442.928	0.024	0
45	91	Rh	-58570.	298.	8328.	3.	1
46	91	Pd	-45930.	401.	8181.	4.	1
33	92	As	-30981.	500.	8127.	5.	1
34	92	Se	-46724.	400.	8290.	4.	1
35	92	Br	-56232.805	6.709	8384.911	0.073	0
36	92	Kr	-68769.320	2.701	8512.674	0.029	0
37	92	Rb	-74772.438	6.123	8569.422	0.067	0
38	92	Sr	-82867.361	3.423	8648.906	0.037	0
39	92	Y	-84816.492	9.127	8661.589	0.099	0
40	92	Zr	-88459.028	0.102	8692.678	0.001	0
41	92	Nb	-86453.292	1.785	8662.372	0.019	0
42	92	Mo	-86808.576	0.157	8657.730	0.002	0
43	92	Tc	-78925.693	3.102	8563.543	0.034	0
44	92	Ru	-74301.201	2.718	8504.773	0.030	0
45	92	Rh	-62999.087	4.378	8373.420	0.048	0
46	92	Pd	-54580.	300.	8273.	3.	1
47	92	Ag	-37130.	500.	8075.	5.	1
34	93	Se	-40716.	400.	8223.	4.	1
35	93	Br	-52890.230	430.816	8345.598	4.632	0
36	93	Kr	-64135.994	2.515	8458.108	0.027	0
37	93	Rb	-72619.901	7.830	8540.920	0.084	0
38	93	Sr	-80085.838	7.554	8612.787	0.081	0
39	93	Y	-84227.157	10.488	8648.905	0.113	0
40	93	Zr	-87122.032	0.457	8671.620	0.005	0
41	93	Nb	-87212.838	1.491	8664.184	0.016	0
42	93	Mo	-86807.069	0.181	8651.409	0.002	0
43	93	Tc	-83606.106	1.012	8608.577	0.011	0
44	93	Ru	-77216.713	2.065	8531.462	0.022	0
45	93	Rh	-69011.800	2.629	8434.825	0.028	0
46	93	Pd	-59001.	300.	8319.	3.	1
47	93	Ag	-46267.	401.	8173.	4.	1
34	94	Se	-36803.	500.	8180.	5.	1
35	94	Br	-47400.	300.	8284.	3.	1
36	94	Kr	-61347.772	12.109	8424.331	0.129	0
37	94	Rb	-68562.785	2.029	8492.764	0.022	0
38	94	Sr	-78845.711	1.663	8593.834	0.018	0
39	94	Y	-82351.463	6.380	8622.806	0.068	0
40	94	Zr	-87269.322	0.164	8666.801	0.002	0
41	94	Nb	-86369.062	1.491	8648.901	0.016	0
42	94	Mo	-88414.065	0.141	8662.333	0.002	0
43	94	Tc	-84158.317	4.071	8608.736	0.043	0
44	94	Ru	-82583.591	3.143	8583.661	0.033	0
45	94	Rh	-72907.613	3.379	8472.402	0.036	0
46	94	Pd	-66102.268	4.287	8391.682	0.046	0
47	94	Ag	-52410.	400.	8238.	4.	1
48	94	Cd	-40140.	500.	8099.	5.	1
34	95	Se	-30460.	500.	8112.	5.	1
35	95	Br	-43771.	298.	8244.	3.	1
36	95	Kr	-56158.913	18.630	8365.995	0.196	0
37	95	Rb	-65891.493	20.245	8460.208	0.213	0
38	95	Sr	-75119.551	5.812	8549.111	0.061	0
39	95	Y	-81208.848	6.779	8604.973	0.071	0
40	95	Zr	-85659.940	0.869	8643.592	0.009	0
41	95	Nb	-86786.258	0.508	8647.212	0.005	0
42	95	Mo	-87711.858	0.123	8648.720	0.001	0
43	95	Tc	-86021.341	5.080	8622.690	0.053	0
44	95	Ru	-83457.745	9.502	8587.470	0.100	0
45	95	Rh	-78340.606	3.886	8525.370	0.041	0
46	95	Pd	-69965.900	3.031	8428.980	0.032	0
47	95	Ag	-59597.	298.	8312.	3.	1
