N/100,pN,Z/100,pZ,BE/A(MeV),przewidywane_BE/A(MeV)
1.29,0,0.93,0,7.604,7.59887
1.4,1,0.83,0,7.636,7.59513
1.39,0,0.84,1,7.655,7.64298
1.3,1,0.93,0,7.608,7.61254
1.41,0,0.83,0,7.617,7.56995
1.4,1,0.84,1,7.644,7.62279
1.31,0,0.93,0,7.604,7.60401
1.41,0,0.84,1,7.626,7.59873
1.4,1,0.85,0,7.641,7.63439
1.42,1,0.84,1,7.614,7.57472
1.41,0,0.85,0,7.624,7.61517
1.33,0,0.93,0,7.604,7.60717
1.43,0,0.84,1,7.596,7.54716
1.42,1,0.85,0,7.613,7.59267
1.33,0,0.94,1,7.585,7.58827
1.43,0,0.85,0,7.597,7.57113
1.44,1,0.85,0,7.585,7.54411
1.44,1,0.86,1,7.596,7.57161
1.35,0,0.95,0,7.562,7.55844
1.45,0,0.86,1,7.579,7.54897
1.36,1,0.95,0,7.566,7.57033
1.35,0,0.96,1,7.542,7.5398
1.39,0,0.93,0,7.597,7.60357
1.37,0,0.95,0,7.564,7.56088
1.36,1,0.96,1,7.548,7.55233
1.38,1,0.95,0,7.567,7.57028
1.36,1,0.97,0,7.519,7.52156
1.39,0,0.95,0,7.564,7.56137
1.37,0,0.97,0,7.519,7.50934
1.47,0,0.88,1,7.561,7.54459
1.39,0,0.96,1,7.547,7.54497
1.38,1,0.97,0,7.524,7.52425
1.41,0,0.95,0,7.561,7.55978
1.39,0,0.97,0,7.523,7.51285
1.48,1,0.89,0,7.55,7.53451
1.42,1,0.95,0,7.561,7.56399
1.4,1,0.97,0,7.527,7.52524
1.48,1,0.9,1,7.555,7.5485
1.41,0,0.97,0,7.525,7.51466
1.4,1,0.98,1,7.509,7.50844
1.49,0,0.9,1,7.541,7.53442
1.48,1,0.91,0,7.55,7.55222
1.42,1,0.97,0,7.527,7.52445
1.41,0,0.98,1,7.507,7.49836
1.4,1,0.99,0,7.481,7.47832
1.49,0,0.91,0,7.538,7.53999
1.43,0,0.97,0,7.523,7.51465
1.41,0,0.99,0,7.481,7.4647
1.5,1,0.91,0,7.528,7.52114
1.49,0,0.92,1,7.539,7.54696
1.44,1,0.97,0,7.524,7.52175
1.43,0,0.98,1,7.507,7.49939
1.42,1,0.99,0,7.485,7.48013
1.41,0,1,1,7.46,7.44855
1.5,1,0.92,1,7.532,7.52957
1.45,0,0.97,0,7.519,7.51266
1.43,0,0.99,0,7.483,7.46753
1.42,1,1,1,7.465,7.46416
1.51,0,0.92,1,7.518,7.51889
1.5,1,0.93,0,7.525,7.5293
1.45,0,0.98,1,7.505,7.49868
1.44,1,0.99,0,7.486,7.48036
1.43,0,1,1,7.464,7.45189
1.51,0,0.93,0,7.514,7.51928
1.45,0,0.99,0,7.483,7.46878
1.44,1,1,1,7.468,7.4648
1.52,1,0.93,0,7.505,7.50283
1.46,1,0.99,0,7.484,7.4789
1.45,0,1,1,7.466,7.45383
1.44,1,1.01,0,7.442,7.43536
1.51,0,0.95,0,7.505,7.51315
1.47,0,0.99,0,7.48,7.46831
1.45,0,1.01,0,7.441,7.42052
1.53,0,0.94,1,7.494,7.49853
1.52,1,0.95,0,7.499,7.50261
1.47,0,1,1,7.464,7.45426
1.46,1,1.01,0,7.444,7.43639
1.53,0,0.95,0,7.487,7.49417
1.51,0,0.97,0,7.491,7.49276
1.49,0,0.99,0,7.476,7.46596
1.47,0,1.01,0,7.442,7.42274
1.46,1,1.02,1,7.424,7.42179
1.54,1,0.95,0,7.479,7.48023
1.5,1,0.99,0,7.474,7.47038
1.48,1,1.01,0,7.444,7.43593
1.47,0,1.02,1,7.422,7.40863
1.51,0,0.99,0,7.469,7.46151
1.49,0,1.01,0,7.441,7.42348
1.48,1,1.02,1,7.426,7.42164
1.49,0,1.02,1,7.423,7.40993
1.48,1,1.03,0,7.401,7.39292
1.56,1,0.96,1,7.46,7.45712
1.55,0,0.97,0,7.459,7.46524
1.51,0,1.01,0,7.438,7.42259
1.49,0,1.03,0,7.399,7.37705
1.56,1,0.97,0,7.451,7.45399
1.52,1,1.01,0,7.438,7.43008
1.5,1,1.03,0,7.403,7.39325
1.49,0,1.04,1,7.38,7.36419
1.57,0,0.97,0,7.44,7.44625
1.53,0,1.01,0,7.432,7.41988
1.51,0,1.03,0,7.4,7.37872
1.5,1,1.04,1,7.384,7.38002
1.57,0,0.98,1,7.438,7.44565
1.51,0,1.04,1,7.382,7.36613
1.5,1,1.05,0,7.359,7.35027
1.58,1,0.98,1,7.432,7.43123
1.57,0,0.99,0,7.428,7.43316
1.55,0,1.01,0,7.421,7.41516
1.51,0,1.05,0,7.358,7.33213
1.58,1,0.99,0,7.422,7.4248
1.54,1,1.03,0,7.397,7.38957
1.52,1,1.05,0,7.362,7.35121
1.59,0,0.99,0,7.412,7.41771
1.58,1,1,1,7.418,7.41905
1.56,1,1.02,1,7.407,7.40572
1.55,0,1.03,0,7.392,7.37768
1.53,0,1.05,0,7.358,7.33451
1.52,1,1.06,1,7.342,7.33935
1.59,0,1,1,7.407,7.41449
1.58,1,1.01,0,7.405,7.40628
1.56,1,1.03,0,7.39,7.38529
1.55,0,1.04,1,7.377,7.3662
1.53,0,1.06,1,7.34,7.32326
1.6,1,1,1,7.402,7.40272
1.59,0,1.01,0,7.396,7.39863
1.58,1,1.02,1,7.397,7.39703
1.57,0,1.03,0,7.383,7.37463
1.56,1,1.04,1,7.377,7.37339
1.55,0,1.05,0,7.357,7.33566
1.53,0,1.07,0,7.313,7.28835
1.6,1,1.01,0,7.391,7.39335
1.59,0,1.02,1,7.388,7.39141
1.58,1,1.03,0,7.381,7.37914
1.56,1,1.05,0,7.357,7.34928
1.54,1,1.07,0,7.317,7.31012
1.61,0,1.01,0,7.382,7.38624
1.6,1,1.02,1,7.385,7.38598
1.59,0,1.03,0,7.374,7.3696
1.58,1,1.04,1,7.37,7.36815
1.57,0,1.05,0,7.352,7.33547
1.55,0,1.07,0,7.315,7.29124
1.61,0,1.02,1,7.376,7.38112
1.6,1,1.03,0,7.371,7.37089
1.59,0,1.04,1,7.364,7.36016
1.58,1,1.05,0,7.352,7.34617
1.57,0,1.06,1,7.337,7.32477
1.56,1,1.07,0,7.318,7.31044
1.55,0,1.08,1,7.295,7.28161
1.62,1,1.02,1,7.371,7.37227
1.61,0,1.03,0,7.363,7.36235
1.6,1,1.04,1,7.361,7.36108
1.59,0,1.05,0,7.346,7.33376
1.58,1,1.06,1,7.338,7.33487
1.57,0,1.07,0,7.315,7.29307
1.62,1,1.03,0,7.359,7.36028
1.61,0,1.04,1,7.354,7.35432
1.6,1,1.05,0,7.344,7.34143
1.59,0,1.06,1,7.333,7.32364
1.58,1,1.07,0,7.316,7.30957
1.56,1,1.09,0,7.271,7.27019
1.63,0,1.03,0,7.349,7.3526
1.62,1,1.04,1,7.352,7.35195
1.61,0,1.05,0,7.339,7.33035
1.6,1,1.06,1,7.332,7.33073
1.59,0,1.07,0,7.313,7.29373
1.57,0,1.09,0,7.27,7.24923
1.63,0,1.04,1,7.342,7.34625
1.62,1,1.05,0,7.336,7.33485
1.61,0,1.06,1,7.327,7.32103
1.6,1,1.07,0,7.313,7.30741
1.59,0,1.08,1,7.295,7.28418
1.58,1,1.09,0,7.273,7.271
1.57,0,1.1,1,7.248,7.24142
1.64,1,1.04,1,7.337,7.34047
1.63,0,1.05,0,7.328,7.32501
1.62,1,1.06,1,7.326,7.325
1.61,0,1.07,0,7.308,7.2931
1.6,1,1.08,1,7.298,7.29707
1.59,0,1.09,0,7.271,7.25156
1.58,1,1.1,1,7.252,7.26214
1.64,1,1.05,0,7.323,7.3262
1.63,0,1.06,1,7.318,7.31674
1.62,1,1.07,0,7.309,7.30383
1.61,0,1.08,1,7.294,7.28384
1.6,1,1.09,0,7.273,7.27075
1.65,0,1.05,0,7.314,7.31747
1.64,1,1.06,1,7.314,7.31748
1.63,0,1.07,0,7.301,7.29099
1.62,1,1.08,1,7.295,7.29382
1.61,0,1.09,0,7.271,7.25288
1.65,0,1.06,1,7.305,7.31052
1.64,1,1.07,0,7.298,7.29864
1.63,0,1.08,1,7.288,7.28225
1.62,1,1.09,0,7.273,7.26936
1.61,0,1.1,1,7.252,7.24474
1.66,1,1.06,1,7.301,7.3079
1.65,0,1.07,0,7.29,7.28721
1.64,1,1.08,1,7.286,7.28919
1.63,0,1.09,0,7.267,7.25307
1.62,1,1.1,1,7.255,7.26023
1.61,0,1.11,0,7.227,7.2114
1.67,0,1.06,1,7.291,7.30209
1.66,1,1.07,0,7.286,7.29164
1.65,0,1.08,1,7.279,7.2792
1.64,1,1.09,0,7.265,7.26671
1.63,0,1.1,1,7.249,7.24501
1.62,1,1.11,0,7.231,7.23303
1.67,0,1.07,0,7.278,7.28151
1.66,1,1.08,1,7.276,7.283
1.65,0,1.09,0,7.259,7.252
1.64,1,1.1,1,7.249,7.2577
1.63,0,1.11,0,7.227,7.21321
1.68,1,1.07,0,7.273,7.28257
1.67,0,1.08,1,7.267,7.27449
1.66,1,1.09,0,7.256,7.26267
1.65,0,1.1,1,7.244,7.24419
1.64,1,1.11,0,7.227,7.23226
1.68,1,1.08,1,7.264,7.27503
1.67,0,1.09,0,7.25,7.24948
1.66,1,1.1,1,7.243,7.25398
1.65,0,1.11,0,7.222,7.21404
1.64,1,1.12,1,7.209,7.22454
1.69,0,1.08,1,7.255,7.26787
1.68,1,1.09,0,7.247,7.25704
1.67,0,1.1,1,7.237,7.24214
1.66,1,1.11,0,7.222,7.23039
1.65,0,1.12,1,7.205,7.2074
1.69,0,1.09,0,7.24,7.2453
1.68,1,1.1,1,7.235,7.2489
1.67,0,1.11,0,7.218,7.21378
1.66,1,1.12,1,7.206,7.2226
1.65,0,1.13,0,7.182,7.17496
1.7,1,1.09,0,7.237,7.24961
1.69,0,1.1,1,7.228,7.23865
1.68,1,1.11,0,7.216,7.22729
1.67,0,1.12,1,7.202,7.20718
1.66,1,1.13,0,7.184,7.19632
1.7,1,1.1,1,7.226,7.24226
1.69,0,1.11,0,7.212,7.21227
1.68,1,1.12,1,7.202,7.21961
1.67,0,1.13,0,7.18,7.17628
1.71,0,1.1,1,7.219,7.23351
1.7,1,1.11,0,7.21,7.2228
1.69,0,1.12,1,7.197,7.20591
1.68,1,1.13,0,7.181,7.19508
1.71,0,1.11,0,7.204,7.20933
1.7,1,1.12,1,7.197,7.21544
1.69,0,1.13,0,7.177,7.17664
1.72,1,1.11,0,7.202,7.21674
1.71,0,1.12,1,7.191,7.2034
1.7,1,1.13,0,7.177,7.19275
1.72,1,1.12,1,7.19,7.20992
1.71,0,1.13,0,7.173,7.17593
1.7,1,1.14,1,7.162,7.18629
1.73,0,1.12,1,7.184,7.19947
1.72,1,1.13,0,7.173,7.18922
1.71,0,1.14,1,7.158,7.17077
1.73,0,1.13,0,7.168,7.17398
1.72,1,1.14,1,7.159,7.18287
1.74,1,1.13,0,7.167,7.1843
1.73,0,1.14,1,7.154,7.16905
1.72,1,1.15,0,7.138,7.15926
1.74,1,1.14,1,7.154,7.17828
1.73,0,1.15,0,7.135,7.14073
1.75,0,1.14,1,7.148,7.16609
1.74,1,1.15,0,7.135,7.15651
1.73,0,1.16,1,7.119,7.13693
1.75,0,1.15,0,7.13,7.13957
1.74,1,1.16,1,7.12,7.15135
1.76,1,1.15,0,7.13,7.15256
1.75,0,1.16,1,7.116,7.13581
1.74,1,1.17,0,7.098,7.12697
1.76,1,1.16,1,7.116,7.14754
1.75,0,1.17,0,7.095,7.10686
1.77,0,1.16,1,7.111,7.13365
1.76,1,1.17,0,7.095,7.12486
1.75,0,1.18,1,7.077,7.10451
1.77,0,1.17,0,7.092,7.10633
1.76,1,1.18,1,7.079,7.12099
1.77,0,1.18,1,7.075,7.10387
