N/100,pN,Z/100,pZ,BE/A(MeV),przewidywane_BE/A(MeV)
0.33,0,0.35,0,8.239,8.24983
0.45,0,0.24,1,7.924,8.01712
0.44,1,0.25,0,8.147,8.18645
0.43,0,0.26,1,8.342,8.38516
0.33,0,0.36,1,8.133,8.14089
0.46,1,0.24,1,7.867,7.87562
0.45,0,0.25,0,8.07,8.12335
0.44,1,0.26,1,8.302,8.33448
0.43,0,0.27,0,8.436,8.44829
0.34,1,0.36,1,8.256,8.28524
0.46,1,0.25,0,8.015,8.03705
0.45,0,0.26,1,8.227,8.27886
0.34,1,0.37,0,8.115,8.14236
0.47,0,0.25,0,7.937,7.97168
0.46,1,0.26,1,8.184,8.21392
0.45,0,0.27,0,8.336,8.34282
0.35,0,0.37,0,8.202,8.20741
0.47,0,0.26,1,8.106,8.16428
0.46,1,0.27,0,8.295,8.29336
0.36,1,0.37,0,8.306,8.31551
0.35,0,0.38,1,8.102,8.11241
0.48,1,0.26,1,8.061,8.06996
0.47,0,0.27,0,8.229,8.23557
0.46,1,0.28,1,8.43,8.41651
0.36,1,0.38,1,8.221,8.24709
0.49,0,0.26,1,7.982,8.02138
0.48,1,0.27,0,8.185,8.17367
0.47,0,0.28,1,8.366,8.3605
0.36,1,0.39,0,8.089,8.11893
0.49,0,0.27,0,8.116,8.1182
0.48,1,0.28,1,8.331,8.3091
0.37,0,0.39,0,8.176,8.17356
0.5,1,0.27,0,8.07,8.03008
0.49,0,0.28,1,8.265,8.26121
0.48,1,0.29,0,8.408,8.37515
0.38,1,0.39,0,8.278,8.27794
0.37,0,0.4,1,8.081,8.09896
0.5,1,0.28,1,8.225,8.19589
0.39,0,0.39,0,8.349,8.32085
0.38,1,0.4,1,8.194,8.22325
0.51,0,0.28,1,8.143,8.15339
0.5,1,0.29,0,8.312,8.2688
0.39,0,0.4,1,8.267,8.25613
0.38,1,0.41,0,8.066,8.11247
0.52,1,0.28,1,8.08,8.05812
0.51,0,0.29,0,8.24,8.21814
0.4,1,0.4,1,8.36,8.35386
0.39,0,0.41,0,8.151,8.15921
0.52,1,0.29,0,8.179,8.15502
0.4,1,0.41,0,8.248,8.25903
0.39,0,0.42,1,8.058,8.1084
0.53,0,0.29,0,8.103,8.106
0.41,0,0.41,0,8.315,8.29781
0.4,1,0.42,1,8.163,8.22134
0.53,0,0.3,1,8.226,8.23827
0.41,0,0.42,1,8.234,8.25307
0.4,1,0.43,0,8.043,8.12698
0.54,1,0.3,1,8.172,8.1724
0.53,0,0.31,0,8.307,8.29049
0.42,1,0.42,1,8.325,8.34253
0.41,0,0.43,0,8.12,8.16694
0.55,0,0.3,1,8.092,8.13554
0.54,1,0.31,0,8.255,8.23985
0.42,1,0.43,0,8.215,8.26134
0.41,0,0.44,1,8.03,8.13194
0.55,0,0.31,0,8.186,8.19571
0.43,0,0.43,0,8.28,8.29555
0.42,1,0.44,1,8.133,8.23313
0.56,1,0.31,0,8.129,8.13079
0.55,0,0.32,1,8.29,8.2978
0.43,0,0.44,1,8.199,8.26235
0.56,1,0.32,1,8.243,8.24599
0.55,0,0.33,0,8.354,8.3473
0.44,1,0.44,1,8.298,8.34268
0.43,0,0.45,0,8.09,8.17848
0.57,0,0.32,1,8.169,8.2106
0.56,1,0.33,0,8.307,8.30211
0.45,0,0.44,1,8.339,8.36964
0.44,1,0.45,0,8.191,8.26714
0.58,1,0.32,1,8.118,8.14392
0.57,0,0.33,0,8.244,8.25848
0.45,0,0.45,0,8.255,8.29385
